                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0572,                 2.6125,                 1.7825,                 1.3954,                0.55898,                0.45463,                0.49331,                 0.3579,                0.57484,                0.45207,                0.49376,                0.31807,                      0,                      0,                    inf,                      0,               0.070248,              0.0033058,              0.0033058
                      1,                0.76473,                 1.6915,                0.85128,                 1.1441,                0.60376,                0.54366,                0.56298,                0.41223,                0.59879,                0.54229,                0.54823,                 0.3807,                      0,                      0,                    inf,                      0,               0.040182,              0.0065734,              0.0065734
                      2,                0.79966,                 1.6974,                0.74994,                 1.1352,                0.56611,                0.57607,                0.57908,                0.41396,                0.55212,                0.55572,                0.54518,                0.38002,                      0,                      0,                    inf,                      0,                0.01005,               0.009775,               0.009775
                      3,                 0.8599,                  1.806,                0.78138,                 1.1601,                0.50321,                0.58026,                0.54867,                0.36724,                0.49268,                0.56951,                0.51948,                0.31532,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                0.85368,                 1.7161,                0.72996,                  1.159,                0.66053,                 0.5493,                0.61044,                0.46383,                0.65652,                0.54415,                0.60767,                0.41747,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                0.84488,                 1.7216,                0.70744,                 1.1471,                0.58538,                  0.667,                0.65177,                0.46009,                0.58843,                0.67535,                0.65376,                0.43691,                      0,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                0.82007,                 1.6011,                0.65824,                 1.1302,                0.60534,                0.68235,                0.66846,                0.47653,                0.59517,                0.68178,                0.66568,                0.46177,                      0,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                0.81335,                 1.5809,                0.64882,                 1.1289,                0.77352,                0.75378,                0.80604,                0.59694,                0.78012,                0.75606,                0.80639,                 0.5632,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                0.79153,                 1.5101,                0.62727,                  1.118,                0.69227,                0.73753,                0.73496,                0.57161,                 0.6876,                0.73611,                0.73717,                 0.5338,                      0,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                0.77974,                 1.5232,                0.61497,                 1.1036,                0.74591,                0.66486,                0.72485,                0.53808,                0.77121,                0.65181,                 0.7202,                0.51393,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                0.75752,                  1.448,                0.58489,                 1.1005,                0.77207,                0.70418,                0.78041,                 0.5949,                0.76877,                0.70562,                 0.7756,                0.56232,                      0,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 0.7588,                 1.4323,                0.58922,                 1.0916,                0.72147,                0.71955,                0.74305,                 0.5778,                0.73551,                0.73353,                0.76173,                0.55863,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.75457,                 1.4452,                0.57652,                 1.0869,                0.68902,                0.72073,                0.72369,                0.52771,                   0.69,                0.72629,                0.72556,                0.48903,                      0,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.74037,                 1.4039,                0.56274,                 1.0792,                0.75506,                0.70768,                0.76576,                0.59504,                0.76478,                0.71506,                0.77942,                0.56668,                      0,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.72543,                 1.3345,                0.54797,                 1.0729,                0.71621,                0.76262,                0.78361,                0.59749,                0.72266,                0.76616,                 0.7907,                0.57148,                      0,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.72327,                 1.3795,                0.53458,                  1.075,                0.76727,                0.68664,                0.75829,                0.56883,                0.77519,                0.68512,                0.75638,                0.54153,                      0,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.71923,                 1.3394,                0.53068,                 1.0613,                0.80245,                0.74985,                0.81382,                0.60677,                 0.7943,                0.74206,                0.79994,                0.58397,                      0,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                0.68585,                 1.2502,                0.50316,                 1.0503,                0.76873,                0.76353,                 0.7981,                0.59932,                0.75041,                0.74952,                0.78989,                0.55977,                      0,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                0.69298,                 1.2754,                0.50978,                 1.0565,                0.71883,                0.74275,                0.76226,                0.57781,                0.72816,                0.74977,                0.77212,                0.54268,                      0,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 0.6907,                 1.2832,                0.50007,                 1.0484,                0.79523,                0.76138,                0.81487,                0.63334,                0.77944,                0.75833,                0.80925,                0.60853,                      0,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                0.67945,                 1.2767,                0.49398,                 1.0436,                0.80232,                0.74542,                0.81432,                 0.6321,                0.81732,                0.75794,                0.83686,                0.60824,                      0,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                 0.6723,                 1.2234,                 0.4771,                 1.0429,                0.83806,                0.76399,                 0.8285,                0.63832,                0.83345,                0.76072,                 0.8185,                0.60043,                      0,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                0.67062,                 1.2367,                  0.473,                 1.0417,                  0.781,                  0.775,                0.82211,                 0.6309,                0.77725,                0.77336,                0.81944,                0.59674,                      0,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                0.65167,                 1.1871,                0.45741,                 1.0328,                0.81384,                0.75598,                0.81788,                0.63902,                0.81537,                0.75668,                 0.8242,                 0.6144,                      0,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                0.65002,                 1.2133,                0.46224,                 1.0292,                0.83607,                0.75511,                0.84886,                0.65509,                0.85683,                0.74994,                0.84991,                0.63486,                      0,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                 0.6471,                 1.1751,                0.45332,                 1.0245,                0.78769,                0.81029,                0.85119,                0.65854,                0.78276,                0.80548,                0.84202,                0.64056,                      0,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                0.63435,                  1.134,                0.44092,                 1.0213,                0.80418,                0.80375,                0.84229,                0.64895,                0.80079,                0.80678,                0.83311,                0.61338,                      0,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 0.6269,                 1.1443,                0.44183,                 1.0124,                0.82958,                0.77772,                0.86171,                 0.6718,                 0.8192,                0.76733,                0.84199,                0.63247,                      0,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                0.63311,                 1.1454,                0.44515,                 1.0208,                0.83352,                  0.768,                0.85116,                0.67744,                0.84182,                0.77674,                0.85367,                 0.6398,                      0,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                0.61464,                 1.1261,                0.42233,                  1.011,                0.81013,                0.80488,                0.86853,                0.69322,                0.80481,                0.80247,                0.86102,                0.66053,                      0,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                 0.6229,                 1.1534,                0.42343,                 1.0162,                0.80823,                0.82099,                0.84485,                0.66921,                0.82696,                0.82723,                 0.8615,                0.64915,                      0,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                0.61338,                 1.1171,                0.42302,                 1.0136,                0.82321,                0.79756,                0.87644,                 0.7013,                0.83368,                 0.8041,                0.87204,                0.66822,                      0,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                0.61029,                 1.1031,                0.41391,                 1.0064,                0.82118,                0.80147,                0.86571,                0.67505,                0.81011,                0.78604,                0.84495,                0.64461,                      0,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                0.60981,                 1.0852,                0.40995,                 1.0044,                0.84157,                0.79338,                 0.8601,                0.68315,                0.85165,                0.79375,                0.84868,                0.65749,                      0,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                0.59854,                 1.0904,                0.41007,                 1.0013,                0.77672,                0.80994,                0.86391,                0.67601,                0.77919,                0.81328,                0.86188,                0.62964,                      0,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                0.60443,                 1.0915,                0.41359,                 1.0083,                0.85074,                0.81687,                0.88727,                0.71195,                 0.8315,                0.82522,                0.88156,                0.68516,                      0,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                0.60018,                 1.0749,                 0.4068,                 1.0047,                0.84614,                0.76079,                0.85684,                0.69239,                0.85208,                0.76049,                0.85723,                0.65697,                      0,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                 0.5866,                 1.0554,                0.38938,                0.99467,                0.88006,                0.78964,                0.87589,                0.69839,                0.87558,                0.79085,                0.86576,                0.66217,                      0,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                0.59294,                 1.0696,                0.39365,                0.99563,                0.83419,                0.83119,                0.86017,                0.69469,                0.83096,                0.83981,                0.86078,                 0.6517,                      0,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.57911,                 1.0292,                0.38247,                0.98903,                0.83479,                   0.82,                0.88747,                0.71278,                0.82815,                0.81333,                0.87674,                0.67383,                      0,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.58162,                 1.0454,                0.38732,                0.99362,                0.88424,                0.78006,                0.88686,                0.70774,                0.87523,                0.77227,                0.87133,                0.67241,                      0,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.56781,                 1.0333,                0.37777,                0.98466,                0.82065,                0.82035,                  0.877,                0.70491,                0.82602,                0.82197,                0.86815,                0.66841,                      0,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.56348,                 1.0197,                0.36893,                0.97294,                0.85368,                0.84912,                0.89889,                0.71744,                 0.8466,                0.84217,                0.88209,                0.68265,                      0,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.55139,                 1.0354,                0.36384,                0.98419,                0.87682,                0.82175,                0.89991,                0.71379,                0.82172,                 0.8793,                0.89086,                0.67094,                      0,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.55849,                 1.0448,                0.36741,                0.97804,                0.85741,                 0.7821,                0.85109,                0.69031,                0.87394,                0.79197,                0.84961,                0.65794,                      0,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.55127,                0.98255,                0.35411,                 0.9765,                0.81888,                0.84614,                0.87997,                0.71713,                0.81057,                0.83977,                0.86796,                0.67955,                      0,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 0.5501,                0.98037,                0.35327,                0.97672,                0.87893,                0.84126,                0.89506,                0.72963,                0.88726,                0.85017,                0.89408,                0.69054,                      0,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.54599,                0.99729,                0.35818,                0.97172,                0.87924,                 0.8074,                0.88057,                0.71266,                0.89629,                0.82094,                0.88674,                0.68306,                      0,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.54497,                0.97059,                0.35522,                0.97493,                0.82775,                0.81765,                0.86333,                0.70184,                0.82611,                0.81835,                0.86224,                0.67326,                      0,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.53799,                0.97136,                0.35037,                0.96931,                0.83761,                0.82485,                0.88094,                0.72888,                0.84707,                0.83975,                0.88573,                0.69499,                      0,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.54063,                 0.9754,                0.34314,                0.96916,                0.82282,                0.83823,                0.87832,                0.71542,                0.83118,                0.83972,                0.88196,                0.67865,                      0,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.52886,                0.95417,                0.33908,                0.96516,                 0.8814,                0.79342,                0.88178,                0.72241,                0.87305,                0.81112,                0.88297,                0.68551,                      0,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.52962,                0.96642,                0.34182,                0.96678,                0.84454,                0.82434,                0.88416,                 0.7225,                0.84469,                 0.8256,                0.88211,                0.69351,                      0,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.52569,                0.93141,                0.32619,                0.96268,                0.83691,                 0.8281,                0.85788,                0.71083,                0.83628,                 0.8288,                0.85623,                0.67929,                      0,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
