                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   1.98,                 4.6185,                 2.2937,                 2.1101,                0.43914,                0.28417,                 0.2553,                0.17681,                0.43876,                0.28616,                0.23859,                0.12168,                      0,                      0,                    inf,                      0,               0.070248,              0.0033058,              0.0033058
                      1,                 1.7867,                 3.9095,                 1.6135,                  1.885,                0.49025,                0.33789,                0.35879,                 0.2174,                0.44583,                0.31956,                0.32953,                0.14273,                      0,                      0,                    inf,                      0,               0.040182,              0.0065734,              0.0065734
                      2,                 1.8123,                 3.9089,                 1.5227,                 1.8639,                0.43427,                0.24757,                0.25112,                 0.1116,                0.48693,                0.15733,                0.19541,                0.07125,                      0,                      0,                    inf,                      0,                0.01005,               0.009775,               0.009775
                      3,                  1.833,                 3.9557,                 1.5508,                 1.9013,                0.53685,                0.37012,                0.38174,                0.21438,                0.52336,                 0.3491,                0.35534,                0.15625,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                  1.837,                  3.952,                 1.5546,                 1.9085,                0.28391,                 0.3126,                0.26219,                0.12827,                0.27367,                0.27562,                0.21682,                0.07965,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.8257,                 3.9325,                 1.5577,                 1.9075,                0.74798,                0.35365,                0.42229,                0.23174,                0.57406,                0.34616,                 0.3688,                 0.1725,                      0,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.7821,                   3.88,                 1.5153,                 1.8903,                0.50486,                0.49827,                0.48344,                0.30528,                0.49163,                0.48668,                0.44312,                0.23908,                      0,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.7967,                 3.8964,                 1.5451,                 1.9029,                0.43889,                0.43197,                0.43318,                0.26098,                0.44687,                0.41779,                0.41149,                0.20582,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.7789,                 3.8504,                 1.4972,                 1.8686,                0.67364,                0.45293,                0.51902,                0.29586,                0.63375,                0.41426,                  0.466,                 0.2202,                      0,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.7476,                 3.7928,                  1.463,                 1.8503,                0.50504,                 0.4714,                0.47667,                0.30456,                0.50131,                0.46263,                0.44896,                0.23916,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.7591,                 3.8304,                 1.4717,                 1.8582,                 0.3947,                0.43347,                0.40783,                0.22397,                0.39188,                0.42403,                0.38898,                0.18378,                      0,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.7153,                 3.8052,                 1.4578,                 1.8326,                0.51643,                0.43924,                0.46767,                0.28661,                0.51164,                0.40332,                 0.4303,                0.21273,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.7193,                 3.7548,                 1.4538,                 1.8383,                0.64175,                 0.4689,                0.51147,                0.33143,                0.63597,                0.46132,                0.49963,                 0.2709,                      0,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.6925,                 3.7579,                 1.4143,                 1.8127,                0.67876,                0.45565,                0.51036,                0.33134,                0.67864,                 0.4502,                0.50123,                0.26447,                      0,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.6992,                 3.7351,                 1.4156,                 1.8206,                0.67603,                0.53028,                0.55957,                0.37475,                0.67142,                0.50128,                0.54144,                0.29782,                      0,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.6784,                 3.6971,                 1.4039,                 1.7988,                0.58197,                0.45338,                0.48943,                0.32601,                0.57946,                 0.4474,                0.49599,                0.27441,                      0,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.6735,                 3.7122,                 1.3818,                 1.7836,                0.74035,                 0.5383,                0.59345,                0.40383,                0.73077,                0.52796,                0.57981,                0.33928,                      0,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.6635,                   3.69,                 1.3777,                 1.7901,                0.63742,                0.53361,                0.57824,                0.37232,                 0.6172,                0.51889,                0.54633,                0.30367,                      0,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.6451,                 3.6668,                 1.3594,                 1.7722,                0.64264,                0.55246,                0.59162,                0.38097,                0.66058,                0.53447,                0.59086,                0.33673,                      0,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.6608,                  3.665,                 1.3553,                 1.7848,                0.64926,                 0.5158,                0.56748,                0.37169,                0.63256,                0.50326,                0.54355,                0.30461,                      0,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.6386,                 3.6132,                 1.3554,                 1.7781,                 0.6777,                0.50138,                0.52715,                0.32863,                0.64065,                0.48709,                0.49407,                0.24804,                      0,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.6256,                 3.6346,                 1.3517,                 1.7689,                0.59789,                0.56162,                0.57799,                 0.3701,                0.57611,                0.53741,                0.54566,                0.30031,                      0,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.6259,                 3.6735,                 1.3505,                 1.7637,                0.63447,                0.57301,                 0.6049,                0.40848,                0.62736,                0.56113,                0.58812,                0.35979,                      0,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.6333,                 3.6242,                 1.3322,                   1.77,                0.70796,                0.55096,                 0.6318,                0.39732,                0.69098,                0.54308,                0.60588,                0.36939,                      0,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.6128,                 3.5944,                 1.3326,                 1.7585,                0.66393,                0.59326,                0.63796,                   0.42,                0.65219,                0.57825,                0.61438,                0.35447,                      0,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.5967,                 3.5972,                 1.2933,                 1.7461,                0.75283,                0.57573,                0.61895,                0.41526,                0.73209,                0.57026,                0.60526,                0.35511,                      0,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.5804,                 3.6067,                 1.2962,                 1.7274,                0.67855,                0.58193,                0.63544,                0.40337,                0.67359,                0.54489,                 0.6013,                0.33138,                      0,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.5788,                 3.5611,                  1.297,                 1.7341,                0.62253,                0.58984,                0.61651,                0.43734,                0.61007,                0.58215,                0.60108,                0.36963,                      0,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                  1.577,                 3.5202,                 1.3047,                 1.7388,                0.63827,                 0.5697,                0.62886,                0.42584,                 0.6392,                0.56059,                0.61197,                0.35145,                      0,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                 1.5785,                 3.5451,                 1.2728,                 1.7262,                0.75514,                0.60936,                0.65575,                0.44303,                0.73919,                0.59562,                0.63378,                 0.3821,                      0,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.5578,                 3.5639,                  1.275,                 1.7271,                0.71552,                0.63635,                0.68131,                 0.4577,                0.72632,                0.62882,                0.66972,                0.37713,                      0,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.5511,                 3.4787,                 1.2546,                 1.7149,                0.73349,                0.57269,                0.64522,                0.42059,                0.69073,                0.57834,                 0.6182,                0.37291,                      0,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.5347,                 3.4977,                 1.2402,                 1.6993,                0.72766,                0.63287,                0.66839,                0.44323,                0.75219,                 0.6241,                0.66471,                 0.3814,                      0,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.5424,                 3.4785,                 1.2476,                 1.6998,                0.72127,                0.63675,                0.67338,                0.45126,                 0.7133,                0.62403,                0.67318,                0.39624,                      0,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.5378,                 3.4796,                 1.2453,                 1.6979,                0.83135,                0.65398,                0.72475,                0.49481,                0.82104,                0.64447,                0.70964,                 0.4321,                      0,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                  1.531,                 3.4771,                 1.2327,                 1.6922,                0.77038,                0.63817,                0.70022,                0.47596,                0.76159,                0.62839,                0.69346,                0.40176,                      0,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.5385,                 3.4865,                 1.2422,                 1.7003,                0.71571,                0.62599,                0.66249,                0.45879,                0.72656,                0.63441,                 0.6688,                0.37528,                      0,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.5216,                 3.4522,                  1.229,                 1.6873,                0.67764,                0.61874,                0.65377,                0.43795,                0.68261,                0.61514,                0.64481,                0.37483,                      0,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.5111,                 3.4238,                 1.2173,                 1.6831,                0.63719,                0.62819,                0.62997,                0.40747,                0.62384,                0.60772,                0.59917,                0.34656,                      0,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.4996,                 3.4305,                 1.2017,                 1.6593,                0.69965,                0.54611,                0.65179,                0.44843,                0.71688,                0.52859,                0.63067,                0.37518,                      0,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.5001,                 3.4344,                 1.1863,                 1.6616,                0.80066,                0.60736,                0.68223,                0.47072,                0.80257,                0.60264,                0.66565,                 0.4048,                      0,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.5036,                 3.4105,                 1.2014,                 1.6705,                0.72151,                0.61748,                0.63486,                0.43628,                0.73351,                0.61065,                0.62664,                0.37059,                      0,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.5085,                 3.4353,                 1.2118,                 1.6769,                0.71701,                0.60231,                0.65283,                0.43916,                0.73117,                0.59552,                0.63702,                0.36922,                      0,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                  1.483,                 3.3896,                  1.176,                 1.6609,                0.77123,                0.60102,                 0.6555,                0.44995,                0.76759,                0.59659,                0.64147,                0.38056,                      0,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.4695,                 3.3904,                 1.1737,                  1.655,                0.74039,                0.62761,                 0.6807,                0.45174,                0.74219,                0.62036,                0.66262,                0.38582,                      0,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.4552,                 3.3447,                 1.1496,                 1.6324,                0.75055,                0.62814,                0.65232,                0.46184,                0.75407,                0.62175,                0.64653,                0.39236,                      0,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.4805,                 3.3772,                  1.176,                 1.6498,                0.71364,                0.60336,                0.64758,                0.44258,                0.69427,                0.59623,                0.62841,                 0.3796,                      0,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.4768,                 3.3315,                 1.1694,                 1.6503,                0.72592,                0.64241,                0.67769,                0.46345,                0.74508,                 0.6451,                0.68726,                0.39975,                      0,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.4461,                 3.3473,                 1.1449,                 1.6235,                0.71649,                0.62755,                 0.6802,                0.46812,                0.73161,                0.62474,                0.67812,                0.41337,                      0,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
