                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8046,                 4.0513,                 1.7756,                 1.9444,                0.50841,                0.47485,                0.48667,                0.33532,                0.51838,                0.46827,                0.45832,                0.26186,                      0,                      0,                    inf,                      0,                0.07005,              0.0033278,              0.0033278
                      1,                 1.6723,                 3.7163,                 1.3744,                 1.7966,                0.65891,                0.42657,                0.52389,                0.33008,                0.65457,                0.40494,                0.51463,                0.28415,                      0,                      0,                    inf,                      0,               0.039984,              0.0065952,              0.0065952
                      2,                 1.7266,                 3.7773,                 1.4292,                 1.8361,                 0.5234,                0.42311,                0.46277,                0.27349,                0.48209,                0.40143,                0.41469,                0.22284,                      0,                      0,                    inf,                      0,              0.0098517,              0.0097966,              0.0097966
                      3,                 1.7668,                 3.8179,                 1.4788,                 1.8698,                0.63485,                0.49319,                0.53438,                0.34912,                0.62583,                0.48648,                0.51995,                0.28515,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.7328,                 3.7773,                 1.4461,                 1.8427,                0.65702,                0.60202,                0.63175,                0.43215,                0.64875,                0.59387,                0.61072,                0.36497,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.6827,                 3.6943,                 1.3946,                 1.8054,                0.65472,                0.55097,                 0.6193,                0.40483,                0.64923,                0.53778,                0.59443,                0.34518,                      0,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.6705,                 3.6692,                  1.377,                 1.7941,                0.77531,                0.57545,                0.64797,                0.43549,                0.76285,                0.56189,                0.62935,                0.36503,                      0,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.6465,                 3.6352,                 1.3502,                  1.774,                0.67742,                0.63773,                0.67027,                 0.4497,                0.67301,                0.63183,                0.65583,                0.38796,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.6148,                 3.5922,                 1.3238,                 1.7513,                0.69427,                0.59065,                0.63788,                0.43271,                0.71282,                0.58707,                0.62792,                0.38126,                      0,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.5954,                 3.5528,                 1.3065,                 1.7369,                 0.7295,                0.59333,                0.66377,                0.46431,                0.73302,                0.59313,                0.65569,                0.39571,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.5842,                 3.5364,                 1.2866,                 1.7253,                0.76788,                0.62196,                0.70237,                0.49848,                0.76817,                0.62042,                0.68809,                 0.4297,                      0,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.5683,                 3.5185,                  1.271,                 1.7191,                 0.7934,                0.69894,                0.75495,                 0.5363,                0.78207,                 0.6796,                0.74298,                 0.4566,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.5517,                 3.4971,                 1.2571,                 1.7036,                0.72561,                0.62532,                0.68768,                0.49581,                0.73901,                0.62686,                0.68257,                0.42379,                      0,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.5454,                 3.4793,                 1.2373,                 1.6909,                0.77327,                0.63078,                0.72432,                 0.5213,                 0.7863,                0.62212,                0.72192,                0.44577,                      0,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.5339,                 3.4492,                 1.2259,                 1.6865,                0.80878,                0.67186,                0.76042,                0.51635,                0.81558,                0.65898,                 0.7508,                0.45303,                      0,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.5181,                 3.4289,                 1.2173,                 1.6752,                 0.7852,                 0.6519,                0.73171,                 0.5258,                0.77595,                0.64449,                0.71289,                0.43774,                      0,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.5101,                 3.4167,                 1.2051,                 1.6706,                0.79956,                0.65321,                0.75135,                0.53841,                0.81255,                0.65137,                0.74968,                0.46333,                      0,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.4966,                 3.4007,                 1.1963,                 1.6587,                0.77593,                0.67372,                0.75425,                0.54561,                0.74621,                0.65101,                0.71981,                0.45943,                      0,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.4794,                 3.3816,                 1.1773,                 1.6462,                 0.7931,                0.66676,                0.72333,                0.51598,                0.83463,                0.65317,                 0.7134,                0.43891,                      0,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.4744,                 3.3708,                  1.172,                 1.6447,                0.80366,                 0.7056,                0.77767,                0.56069,                0.80087,                0.69612,                0.76868,                0.46264,                      0,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.4716,                 3.3559,                 1.1692,                 1.6366,                0.76667,                0.64814,                0.73624,                0.53867,                 0.7394,                0.66698,                0.73582,                 0.4608,                      0,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
