                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8649,                 4.4893,                  2.216,                 2.0244,                0.60138,                 0.2228,                 0.2535,                0.16871,                0.54949,                0.25008,                0.22308,                0.11766,                      0,                      0,                    inf,                      0,               0.070248,              0.0033058,              0.0033058
                      1,                 1.6997,                  3.806,                 1.5247,                 1.8244,                0.51379,                0.45747,                0.44452,                0.29295,                0.49899,                0.43777,                  0.426,                0.22582,                      0,                      0,                    inf,                      0,               0.040182,              0.0065734,              0.0065734
                      2,                 1.7002,                 3.8185,                 1.4551,                 1.8045,                   0.51,                0.40364,                0.37609,                0.21764,                0.49732,                0.39187,                0.36758,                0.15449,                      0,                      0,                    inf,                      0,                0.01005,               0.009775,               0.009775
                      3,                 1.7528,                 3.8612,                 1.4556,                 1.8214,                0.48763,                0.41773,                0.39615,                0.23022,                0.46363,                0.39521,                0.36331,                0.17782,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.7662,                 3.8479,                 1.4738,                 1.8487,                 0.3833,                0.41523,                0.39563,                0.23797,                0.34952,                0.39281,                0.35674,                0.18384,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.7434,                 3.8248,                 1.4711,                 1.8439,                0.54902,                0.36389,                0.38636,                 0.2228,                0.52139,                 0.3424,                0.35879,                0.17469,                      0,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.7134,                 3.7867,                 1.4417,                  1.832,                0.37436,                0.46592,                0.41761,                0.24291,                0.40368,                0.46209,                0.40905,                 0.2151,                      0,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.7221,                 3.7951,                 1.4587,                  1.832,                0.49296,                0.51413,                0.53185,                0.32637,                0.48711,                0.50491,                 0.5193,                0.28788,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.7356,                 3.7642,                 1.4369,                 1.8307,                0.59212,                0.53021,                0.53832,                0.35587,                0.57449,                0.50808,                0.51374,                0.29128,                      0,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.6682,                 3.7084,                 1.3888,                 1.7892,                0.61771,                0.53946,                0.52127,                0.33503,                0.61108,                0.51273,                 0.5025,                0.27602,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
