                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6384,                 3.8412,                 2.2664,                 1.8075,                0.25979,                0.12407,                  0.063,                0.03455,                0.25847,                0.10634,                0.05799,                0.03044,                      0,                      0,                    inf,                      0,               0.070248,              0.0033058,              0.0033058
                      1,                 1.1993,                 2.6478,                 1.2738,                 1.4401,                0.42274,                0.29328,                0.29607,                0.19268,                 0.3931,                0.27699,                0.26264,                0.14142,                      0,                      0,                    inf,                      0,               0.040182,              0.0065734,              0.0065734
                      2,                 1.1613,                 2.5973,                 1.1136,                  1.383,                0.60882,                0.36854,                0.39437,                0.22264,                0.60939,                0.34248,                0.35952,                0.19012,                      0,                      0,                    inf,                      0,                0.01005,               0.009775,               0.009775
                      3,                 1.1807,                  2.629,                 1.0729,                 1.3928,                 0.3768,                0.28674,                0.30846,                0.19482,                0.36356,                 0.2695,                 0.2708,                0.13794,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.1858,                 2.6051,                 1.0388,                 1.3878,                 0.3404,                0.34614,                0.27202,                0.15871,                0.32804,                0.28457,                0.22079,                0.10391,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.1512,                 2.5465,                  1.016,                 1.3695,                 0.3806,                0.36376,                0.32838,                0.18778,                0.34876,                0.30862,                0.27177,                0.13253,                      0,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.1161,                 2.4598,                0.97885,                 1.3587,                0.47365,                 0.3497,                0.38895,                0.22145,                0.38533,                0.37832,                0.37844,                0.20639,                      0,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.1007,                 2.4381,                0.96365,                 1.3548,                0.62256,                0.39892,                 0.4186,                0.27039,                0.62716,                0.34608,                0.38732,                0.21661,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.1036,                 2.3848,                0.94003,                 1.3452,                  0.595,                0.35104,                0.37736,                0.21675,                0.56841,                0.32203,                0.33703,                 0.1565,                      0,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.0631,                 2.2824,                0.88967,                 1.3167,                0.46347,                0.39119,                 0.3914,                0.24551,                0.44111,                0.36423,                0.36076,                0.19931,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.0276,                 2.2495,                0.86332,                 1.2915,                0.42026,                0.39904,                0.43863,                0.28634,                0.41497,                0.37094,                0.40212,                0.23693,                      0,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.0286,                  2.256,                0.85246,                  1.287,                0.50049,                0.37041,                0.39736,                0.23726,                0.48238,                0.33661,                0.37044,                0.20052,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.99023,                 2.1747,                0.82508,                 1.2622,                0.44727,                0.45836,                0.45243,                0.29477,                0.46809,                0.42983,                0.43459,                0.25772,                      0,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.97747,                 2.1232,                 0.8009,                 1.2537,                0.43065,                0.31547,                0.36117,                0.23516,                0.40074,                0.29772,                0.31592,                0.18776,                      0,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.96329,                 2.1299,                0.80084,                 1.2412,                0.60142,                0.49826,                 0.5201,                0.35306,                0.54192,                  0.446,                0.44879,                0.28297,                      0,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.96063,                 2.0577,                0.78149,                 1.2449,                0.46999,                0.37125,                0.40011,                0.25216,                0.46268,                0.36951,                0.38207,                0.23201,                      0,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 0.9548,                 2.1028,                 0.7608,                 1.2267,                0.48128,                0.44939,                0.47227,                0.30657,                 0.4541,                0.44871,                  0.439,                 0.2612,                      0,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                0.93939,                 2.0412,                0.74654,                 1.2238,                0.46884,                0.47423,                0.45095,                0.31392,                0.46164,                0.46018,                 0.4323,                0.26529,                      0,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                0.91818,                 2.0216,                0.73667,                 1.2108,                0.53562,                0.54708,                0.54254,                0.38032,                0.52689,                0.52897,                0.52271,                 0.3419,                      0,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                0.91628,                 2.0153,                0.72457,                 1.2069,                0.49261,                0.40369,                0.46616,                0.31981,                0.43805,                0.42649,                0.44009,                0.28002,                      0,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                0.90586,                 1.9199,                0.70855,                 1.2023,                0.50318,                0.47838,                0.49544,                 0.3295,                0.48168,                0.47862,                0.47136,                0.27428,                      0,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                0.88872,                 1.9412,                0.70477,                 1.1846,                0.54604,                0.49734,                0.49912,                0.33448,                0.52827,                0.47902,                0.46469,                0.28305,                      0,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                0.88158,                 1.9182,                0.68099,                 1.1834,                0.58187,                0.43581,                0.49873,                0.34047,                0.56816,                0.42542,                0.48083,                0.29958,                      0,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                0.87227,                 1.9083,                0.67642,                 1.1793,                0.58451,                0.50881,                0.53911,                0.36948,                0.57618,                0.49755,                0.52378,                0.32255,                      0,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                0.86802,                 1.8736,                0.66774,                 1.1726,                0.50396,                0.46445,                0.47741,                0.31451,                0.47252,                0.48607,                0.46556,                0.28247,                      0,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                0.85593,                 1.8951,                0.65787,                 1.1712,                0.47431,                0.31822,                0.39744,                0.27893,                0.43384,                0.28695,                 0.3446,                0.22305,                      0,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                0.84888,                 1.8545,                0.64063,                 1.1566,                0.56349,                 0.4043,                0.45889,                0.29477,                0.57032,                 0.3688,                 0.4021,                0.23324,                      0,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                0.83896,                 1.8236,                 0.6367,                 1.1611,                0.47667,                0.45802,                0.49553,                 0.3456,                0.45661,                0.43112,                0.46983,                0.27947,                      0,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                 0.8399,                 1.7886,                0.64592,                 1.1581,                0.51011,                0.43112,                0.46627,                0.32479,                 0.6533,                0.40051,                0.43903,                0.25645,                      0,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                0.82774,                 1.7744,                0.62688,                 1.1478,                0.53358,                0.44665,                0.48754,                   0.34,                0.48959,                0.41531,                0.43634,                0.27335,                      0,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                 0.8275,                 1.8485,                0.62742,                 1.1503,                0.49483,                0.37111,                0.43936,                0.30093,                0.48341,                0.37231,                0.41681,                0.25667,                      0,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                0.80449,                  1.727,                0.60937,                 1.1354,                0.44796,                0.32376,                0.39798,                0.27165,                  0.432,                0.29435,                0.35565,                 0.2307,                      0,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                0.81335,                 1.7543,                0.60914,                 1.1435,                 0.5237,                0.38791,                0.40385,                0.28321,                0.50188,                0.36842,                0.37365,                0.22353,                      0,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                0.80161,                 1.7322,                0.59122,                  1.128,                0.54554,                0.51464,                0.51063,                0.34578,                 0.5319,                0.49727,                0.49429,                0.30591,                      0,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                0.79057,                 1.7375,                0.58591,                 1.1263,                0.55205,                0.48633,                0.50889,                0.35098,                0.53788,                0.47479,                0.48413,                0.29872,                      0,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                0.78167,                 1.6761,                0.56448,                 1.1149,                0.57036,                0.58371,                0.55309,                0.38197,                0.54787,                0.54272,                0.51807,                0.32826,                      0,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                0.79184,                 1.7131,                0.57964,                 1.1294,                0.53677,                0.45138,                0.51229,                0.36519,                0.52259,                0.43974,                0.49196,                0.31559,                      0,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                0.77913,                 1.6849,                0.56833,                 1.1223,                0.48357,                0.37648,                0.38776,                0.27364,                0.47923,                0.37667,                0.38365,                0.25777,                      0,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                0.77043,                 1.6525,                0.55834,                 1.1205,                0.48459,                0.32837,                0.40254,                0.27572,                0.45757,                0.30164,                0.36831,                0.23602,                      0,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.77319,                 1.6799,                0.55368,                 1.1111,                0.55189,                0.45012,                 0.5191,                0.37924,                0.52877,                0.43354,                0.48759,                 0.3158,                      0,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.77591,                 1.6425,                0.55391,                 1.1111,                0.51389,                0.40147,                 0.4467,                0.32084,                0.48863,                0.38878,                0.42065,                0.27965,                      0,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.76462,                 1.6382,                 0.5483,                 1.1095,                0.52981,                0.45778,                0.46185,                0.33302,                0.47822,                0.42021,                0.40559,                 0.2554,                      0,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.75353,                 1.6206,                0.54648,                 1.1006,                0.59458,                0.51203,                0.56621,                0.41149,                0.57449,                0.49196,                 0.5369,                0.35752,                      0,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.74064,                 1.6035,                0.52489,                 1.0957,                0.59893,                0.46945,                0.53641,                0.38047,                0.56719,                 0.4563,                0.50629,                0.33599,                      0,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.74042,                 1.6301,                 0.5347,                 1.1004,                0.51792,                 0.4219,                0.44846,                0.31899,                0.49569,                0.40785,                0.41783,                0.26767,                      0,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.73732,                 1.5658,                 0.5138,                 1.0923,                0.55402,                0.43274,                 0.4644,                0.33407,                0.51818,                 0.4134,                0.42457,                0.27193,                      0,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.73204,                 1.5523,                 0.5124,                 1.0866,                0.55621,                0.38633,                0.46203,                0.34685,                0.51028,                0.35712,                0.41373,                0.28982,                      0,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.72831,                 1.5197,                0.51529,                 1.0815,                0.51436,                0.45903,                0.49446,                0.34726,                0.48405,                0.43585,                0.45126,                0.28972,                      0,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.71082,                 1.5453,                0.49503,                 1.0723,                0.50133,                0.49457,                0.49403,                0.34632,                0.49536,                0.47984,                0.47479,                  0.306,                      0,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.70758,                 1.5204,                0.49394,                 1.0705,                0.62386,                0.40393,                0.49903,                0.33846,                0.52089,                0.39992,                0.45573,                0.27943,                      0,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.71097,                 1.5393,                0.50301,                  1.076,                0.49278,                0.46146,                0.48461,                0.35346,                0.48524,                0.45275,                0.46382,                 0.3095,                      0,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.70482,                 1.5474,                0.48342,                 1.0658,                0.57839,                0.44081,                0.50805,                0.35571,                0.54923,                0.42135,                0.47661,                0.30149,                      0,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.68968,                 1.5419,                0.47846,                 1.0645,                0.58592,                0.45738,                0.49807,                0.34784,                0.57774,                0.43737,                0.47405,                 0.2987,                      0,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.69097,                 1.4939,                0.47886,                 1.0677,                0.54696,                0.42711,                0.47491,                0.35713,                0.54273,                 0.4322,                0.46996,                 0.3141,                      0,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                 0.6868,                 1.4945,                0.46012,                 1.0559,                0.55948,                0.48933,                0.48538,                0.34969,                0.53567,                0.47298,                0.46147,                0.30329,                      0,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.69779,                 1.5099,                0.47265,                 1.0679,                0.53687,                0.50691,                 0.5192,                0.38642,                0.53027,                0.50579,                0.50292,                0.33117,                      0,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
