                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5277,                 3.7074,                 2.0017,                 1.7536,                0.55052,                0.42248,                0.40281,                0.29466,                0.54172,                0.43016,                0.39352,                0.25513,                      0,                      0,                    inf,                      0,               0.070248,              0.0033058,              0.0033058
                      1,                 1.3044,                   3.03,                 1.1459,                  1.511,                0.62022,                0.56428,                0.51582,                0.35562,                0.59633,                0.55407,                0.48268,                 0.2977,                      0,                      0,                    inf,                      0,               0.040182,              0.0065734,              0.0065734
                      2,                 1.3473,                 3.0801,                 1.0746,                 1.5106,                 0.5762,                0.44121,                0.46845,                0.31288,                0.58063,                0.44224,                0.45893,                0.25925,                      0,                      0,                    inf,                      0,                0.01005,               0.009775,               0.009775
                      3,                 1.3647,                 3.0781,                 1.0564,                  1.519,                0.45444,                0.43678,                0.44361,                0.29552,                0.45936,                0.42252,                0.43278,                 0.2395,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.3918,                 3.0865,                 1.0653,                 1.5358,                0.43382,                0.46752,                0.43673,                0.29461,                0.43655,                0.45267,                0.42035,                0.24435,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.3566,                 3.0271,                 1.0161,                 1.5035,                0.59259,                0.56955,                0.58505,                0.37661,                0.62577,                0.54061,                0.56823,                0.32839,                      0,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.3481,                 2.9752,                0.99174,                 1.5138,                0.68017,                0.56718,                0.64234,                0.44662,                 0.6636,                0.57549,                0.63295,                0.39803,                      0,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.3221,                  2.919,                0.98429,                 1.4929,                0.54224,                0.66225,                0.61123,                0.41252,                0.66789,                0.52495,                0.56532,                0.35895,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                  1.315,                 2.8692,                0.96738,                  1.484,                0.70799,                0.62273,                0.63761,                 0.4315,                0.70847,                0.62623,                0.64477,                0.40529,                      0,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.2685,                 2.8253,                0.93422,                  1.451,                0.66336,                0.63249,                0.66893,                0.46307,                0.65917,                0.63978,                0.66963,                  0.417,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.2717,                 2.8234,                0.92956,                  1.463,                0.76411,                0.60947,                0.69919,                0.47799,                0.66241,                0.63391,                 0.6686,                0.42629,                      0,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.2759,                 2.8193,                0.91556,                 1.4561,                0.64201,                0.69794,                0.70988,                0.51614,                0.63642,                0.68689,                0.69736,                0.47647,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.2311,                 2.7541,                0.89207,                 1.4269,                0.66741,                0.69274,                0.71994,                 0.5292,                0.66146,                0.68356,                0.69981,                0.49651,                      0,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.2241,                 2.7243,                0.86118,                 1.4199,                0.75252,                0.62918,                0.70351,                0.49988,                  0.745,                0.62068,                 0.6875,                0.45366,                      0,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                  1.217,                  2.711,                0.86293,                 1.4134,                0.66389,                 0.6924,                0.71227,                0.52965,                0.67595,                0.70221,                0.71593,                0.48411,                      0,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.1972,                 2.6211,                0.83054,                 1.4013,                0.75143,                0.70281,                0.74565,                0.54515,                0.76761,                0.70067,                0.75372,                0.49783,                      0,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.1817,                 2.6514,                0.82085,                 1.3826,                0.70289,                 0.7137,                0.72462,                0.52886,                0.71199,                0.70774,                0.71932,                0.48738,                      0,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.1829,                 2.6127,                0.81934,                 1.3951,                 0.7222,                0.68415,                0.70944,                0.52985,                0.72416,                0.68022,                0.69961,                   0.48,                      0,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.1553,                 2.5822,                0.80349,                 1.3698,                0.70423,                0.68358,                0.70409,                0.52408,                0.69771,                0.67746,                0.69717,                0.48602,                      0,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.1454,                 2.5315,                0.78675,                 1.3579,                0.71724,                0.75064,                 0.7577,                0.56732,                0.71782,                0.75707,                 0.7598,                0.53677,                      0,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.1299,                 2.4835,                0.78416,                  1.351,                0.67026,                0.73731,                0.72642,                0.54383,                 0.6706,                0.74118,                0.73021,                0.51266,                      0,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.1181,                 2.5148,                0.77865,                 1.3439,                0.69831,                0.70892,                0.72762,                0.55706,                0.76203,                0.64247,                0.72603,                0.51519,                      0,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.1152,                 2.4991,                0.76082,                 1.3395,                0.75808,                0.71073,                0.77179,                0.58449,                 0.7634,                0.71372,                0.77665,                0.53707,                      0,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
