                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0633,                 2.6428,                 1.8181,                 1.4041,                0.53968,                0.37212,                 0.3977,                0.28254,                0.57713,                0.32753,                0.37239,                0.23973,                      0,                      0,                    inf,                      0,               0.070248,              0.0033058,              0.0033058
                      1,                 0.8033,                 1.7931,                0.90939,                 1.1581,                0.68329,                0.62147,                0.59108,                 0.4243,                0.67511,                0.60969,                0.58255,                0.39064,                      0,                      0,                    inf,                      0,               0.040182,              0.0065734,              0.0065734
                      2,                0.82063,                  1.769,                0.79179,                 1.1388,                0.44463,                0.67864,                0.60315,                0.42174,                0.43863,                0.66989,                0.59602,                 0.3958,                      0,                      0,                    inf,                      0,                0.01005,               0.009775,               0.009775
                      3,                 0.8647,                 1.8169,                0.77392,                 1.1629,                0.51057,                0.43845,                0.49286,                0.33991,                0.50958,                0.41785,                0.46736,                 0.2524,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                0.86602,                 1.8344,                0.75543,                 1.1649,                0.63619,                0.57767,                0.63389,                0.45086,                0.62647,                0.56721,                 0.6222,                0.39262,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                0.85473,                 1.7401,                0.72804,                 1.1553,                0.62769,                0.72377,                0.67044,                0.46066,                0.60983,                0.70696,                 0.6601,                0.42704,                      0,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                0.84778,                 1.7011,                0.70369,                 1.1587,                0.68419,                0.66122,                0.69385,                0.50354,                0.69769,                0.66807,                0.68562,                0.44179,                      0,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                0.85081,                 1.7067,                0.70283,                 1.1559,                0.68723,                0.69492,                0.72907,                0.53766,                0.68604,                0.68681,                0.71642,                0.50896,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                0.84001,                 1.6531,                0.68953,                 1.1484,                0.64956,                0.68176,                 0.7145,                0.51843,                0.65074,                0.67998,                 0.7165,                0.50091,                      0,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                0.80462,                 1.5622,                0.63198,                 1.1207,                0.71248,                0.66649,                 0.7223,                0.54927,                0.65255,                 0.6935,                0.72261,                0.53415,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 0.7873,                 1.5596,                0.61911,                 1.1191,                0.71268,                0.66248,                0.70807,                0.52052,                0.78939,                0.64794,                0.73164,                0.49592,                      0,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                0.78627,                 1.5305,                0.61951,                 1.1155,                0.70058,                0.78119,                0.77701,                0.57253,                0.68668,                0.76555,                0.75938,                 0.5435,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 0.7631,                 1.4913,                0.59622,                 1.0927,                0.74193,                0.67941,                0.73449,                0.55413,                0.74378,                0.67982,                0.73757,                 0.5272,                      0,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.74848,                 1.4434,                0.57848,                 1.0939,                0.69539,                0.67098,                0.71136,                0.54485,                0.75228,                0.65817,                0.71276,                0.51092,                      0,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.74987,                 1.4273,                0.57834,                 1.0861,                0.77942,                 0.7204,                0.76997,                0.57652,                0.76968,                0.71057,                0.75409,                0.53343,                      0,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.73391,                 1.4034,                0.55252,                 1.0845,                0.74659,                0.76215,                0.80678,                0.62563,                0.74907,                0.76617,                0.81373,                0.59734,                      0,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.73054,                 1.3979,                0.54711,                 1.0731,                0.73694,                0.73281,                0.78813,                0.59859,                0.81289,                0.69251,                0.80016,                0.58721,                      0,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                  0.719,                 1.3495,                0.53981,                 1.0733,                0.71728,                0.76725,                0.75899,                0.58237,                0.71439,                0.76312,                0.75419,                0.54896,                      0,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                0.71228,                 1.3799,                 0.5447,                  1.062,                0.77136,                0.73427,                0.77835,                0.58731,                0.76979,                0.73744,                0.78705,                  0.567,                      0,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                0.69785,                 1.3171,                0.52176,                 1.0579,                0.78081,                0.70829,                0.78374,                0.59701,                0.77596,                0.70238,                0.76686,                0.57604,                      0,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                0.69187,                  1.313,                0.50902,                 1.0539,                0.77329,                0.73324,                0.77823,                  0.593,                0.76424,                0.72916,                 0.7648,                0.57063,                      0,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                0.68487,                 1.3194,                 0.5127,                 1.0485,                0.85791,                0.76952,                0.84293,                0.66449,                0.85592,                0.76387,                0.84725,                0.63498,                      0,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                0.67606,                 1.2895,                0.49936,                 1.0477,                0.74861,                0.77906,                 0.8036,                0.61873,                0.75804,                0.78747,                0.81514,                0.59238,                      0,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                0.68207,                 1.3014,                0.49967,                 1.0512,                 0.7743,                 0.7944,                0.79932,                0.62762,                0.77805,                0.77891,                0.80734,                0.60449,                      0,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                0.66179,                 1.2479,                0.48193,                 1.0336,                0.76055,                0.81584,                0.82764,                0.64729,                0.75557,                 0.8141,                0.82931,                0.60931,                      0,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                0.66131,                 1.2858,                0.47832,                  1.039,                0.78281,                0.79517,                0.82381,                0.65254,                0.79373,                0.78755,                 0.8241,                0.61626,                      0,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                0.65183,                 1.2655,                0.47572,                 1.0336,                0.81847,                0.78854,                0.84171,                0.65182,                0.82352,                0.79124,                0.84177,                0.63241,                      0,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                  0.653,                 1.2227,                0.46149,                  1.037,                0.82282,                0.77801,                0.81925,                0.65015,                0.82956,                 0.7839,                0.82606,                0.62068,                      0,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                0.64336,                 1.1876,                0.46599,                 1.0287,                0.81152,                0.78472,                 0.8288,                0.64598,                0.81655,                0.78946,                0.84273,                0.61881,                      0,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                0.64239,                 1.1843,                0.45305,                 1.0187,                0.81065,                 0.7342,                0.80678,                0.64405,                0.81514,                0.73571,                0.81166,                0.61492,                      0,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                0.63934,                 1.2026,                0.45316,                 1.0217,                0.79114,                0.78386,                0.83806,                0.67669,                 0.7894,                0.79971,                0.84484,                0.64894,                      0,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                0.62207,                 1.1397,                0.44336,                 1.0151,                0.79027,                0.83606,                0.86226,                 0.6898,                0.78408,                0.83152,                0.85351,                0.65565,                      0,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                 0.6365,                 1.1697,                  0.443,                 1.0231,                 0.8099,                0.80242,                0.84476,                0.67509,                0.80411,                0.79948,                0.85143,                0.64507,                      0,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                0.62576,                 1.1631,                0.43716,                 1.0171,                0.77334,                0.76061,                 0.7972,                0.63893,                0.78829,                0.77077,                0.81531,                0.61688,                      0,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                0.61605,                 1.1488,                0.42593,                 1.0079,                0.81304,                0.77665,                0.82167,                0.65096,                0.80888,                0.77312,                0.81206,                0.61705,                      0,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                0.60503,                  1.141,                0.41772,                 1.0049,                 0.8315,                0.75442,                0.84028,                0.66782,                0.82862,                0.74773,                0.82972,                0.63097,                      0,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                0.61503,                 1.1415,                0.42361,                 1.0154,                0.77479,                0.78982,                0.84533,                0.68159,                0.77043,                0.77569,                0.82738,                0.64399,                      0,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                0.59751,                 1.1145,                0.41247,                 1.0065,                0.81156,                0.80882,                 0.8604,                0.69393,                0.81419,                0.81339,                0.86947,                0.65971,                      0,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
