                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.90671,                 2.2387,                 1.5352,                 1.2973,                0.45375,                 0.4814,                0.49143,                0.38138,                0.42245,                0.48904,                0.47342,                0.33471,                      0,                      0,                    inf,                      0,               0.070248,              0.0033058,              0.0033058
                      1,                0.73929,                 1.6804,                0.80466,                 1.1408,                0.61206,                0.57706,                 0.6088,                0.47034,                0.53241,                0.60021,                0.58173,                  0.402,                      0,                      0,                    inf,                      0,               0.040182,              0.0065734,              0.0065734
                      2,                0.78746,                 1.8229,                0.78228,                 1.1589,                0.55781,                0.56104,                0.53267,                0.38008,                0.59604,                0.53016,                0.52741,                0.34586,                      0,                      0,                    inf,                      0,                0.01005,               0.009775,               0.009775
                      3,                0.86253,                 1.9084,                0.77993,                 1.2136,                0.54287,                0.60644,                0.56455,                0.39965,                0.52661,                0.59211,                0.54419,                0.34142,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                0.87816,                 1.9723,                0.77583,                 1.2197,                0.67516,                0.56421,                 0.6136,                 0.4631,                0.62911,                 0.5844,                0.61015,                0.40969,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                0.88788,                  1.939,                0.75744,                 1.2275,                0.60161,                0.61514,                0.63811,                0.47398,                0.59735,                0.61718,                0.62592,                0.43103,                      0,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                0.88048,                 1.9537,                0.73086,                 1.2173,                0.57784,                0.69911,                0.70203,                0.51841,                0.56784,                 0.6984,                0.68145,                0.44865,                      0,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                0.88153,                 1.8741,                0.71467,                 1.2188,                0.57323,                 0.3358,                0.32004,                0.22908,                0.56533,                0.33405,                0.30607,                0.18306,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                0.86626,                 1.8217,                0.71063,                 1.2054,                0.60757,                0.63374,                0.67075,                0.52124,                0.60457,                0.63059,                  0.668,                 0.4773,                      0,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                0.83586,                 1.7709,                0.67473,                 1.1845,                0.67668,                0.67889,                0.70565,                 0.5091,                0.67552,                0.66849,                 0.7032,                0.45431,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                0.84143,                 1.7535,                0.66742,                 1.1881,                0.74439,                0.62169,                0.69686,                 0.5288,                0.68198,                 0.6387,                0.68461,                0.48382,                      0,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                0.81677,                 1.7326,                0.65173,                 1.1781,                0.71434,                0.67201,                0.71288,                0.54489,                 0.6591,                0.70369,                0.72861,                0.50698,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.82691,                 1.7761,                 0.6576,                  1.183,                0.72903,                0.70807,                0.76139,                  0.591,                0.72234,                0.69022,                 0.7452,                0.54127,                      0,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.78896,                 1.6373,                0.62031,                 1.1549,                0.65226,                 0.7277,                 0.7509,                 0.5736,                0.77794,                0.65049,                0.75618,                0.52789,                      0,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.79131,                 1.6477,                0.61491,                 1.1575,                0.62046,                0.69527,                0.66118,                0.52084,                0.62313,                0.66868,                0.65032,                0.49595,                      0,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.77652,                  1.596,                 0.6009,                 1.1439,                0.71563,                0.74581,                0.72751,                0.55983,                0.70915,                0.74488,                0.72704,                0.51524,                      0,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.78545,                  1.613,                0.59787,                 1.1455,                 0.7902,                0.69178,                0.77299,                0.61456,                0.82225,                0.70149,                0.79979,                0.58293,                      0,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 0.7736,                 1.6341,                0.59738,                 1.1502,                0.73059,                0.74015,                 0.7731,                0.62262,                0.77492,                0.73633,                0.80043,                0.58347,                      0,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
