                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2654,                 3.1595,                 2.3484,                  1.551,                0.13195,                0.20448,                 0.1189,                0.09015,                0.13542,                 0.1928,                0.10992,                0.07846,                      0,                      0,                    inf,                      0,               0.067273,             0.00033058,             0.00033058
                      1,                0.89579,                 2.1365,                 1.4765,                 1.2844,                0.49071,                0.39774,                 0.3835,                0.28545,                0.50995,                0.38827,                0.39204,                 0.2595,                      0,                      0,                    inf,                      0,               0.034266,             0.00065734,             0.00065734
                      2,                0.77553,                 1.8365,                 1.0462,                 1.1853,                0.53827,                0.43048,                0.52594,                0.39693,                0.59306,                0.43155,                0.52194,                0.35961,                      0,                      0,                    inf,                      0,               0.001253,              0.0009775,              0.0009775
                      3,                0.72253,                 1.6088,                0.85715,                 1.1283,                0.52494,                0.63266,                 0.6183,                0.47357,                0.52913,                0.61909,                0.61301,                0.43285,                      0,                      0,                    inf,                      0,              0.0009703,              0.0009703,              0.0009703
                      4,                0.66416,                 1.4455,                0.72966,                 1.0875,                0.66718,                0.62956,                0.66926,                 0.5225,                 0.6509,                0.61718,                 0.6437,                0.48184,                      0,                      0,                    inf,                      0,              0.0009703,              0.0009703,              0.0009703
                      5,                0.65753,                 1.4397,                0.67053,                 1.0713,                0.72865,                0.67131,                0.70324,                0.55971,                0.71928,                0.66366,                0.69228,                0.53236,                      0,                      0,                    inf,                      0,              0.0009604,              0.0009604,              0.0009604
                      6,                0.62664,                 1.3022,                0.60245,                 1.0449,                0.72808,                0.70808,                0.74534,                0.59136,                0.72813,                0.71209,                0.74076,                0.56627,                      0,                      0,                    inf,                      0,              0.0009505,              0.0009505,              0.0009505
                      7,                0.61392,                 1.2719,                0.57451,                 1.0338,                0.71709,                0.73946,                0.76848,                0.61851,                0.70139,                0.76922,                0.77653,                0.58586,                      0,                      0,                    inf,                      0,              0.0009406,              0.0009406,              0.0009406
                      8,                0.60436,                 1.2277,                0.55269,                  1.029,                0.70173,                0.81126,                0.79015,                0.63565,                0.69666,                0.80627,                0.77701,                0.59163,                      0,                      0,                    inf,                      0,              0.0009307,              0.0009307,              0.0009307
                      9,                0.59362,                 1.2018,                0.52531,                 1.0166,                0.78252,                0.80501,                0.81949,                0.66643,                0.80848,                0.78784,                0.81698,                 0.6294,                      0,                      0,                    inf,                      0,              0.0009208,              0.0009208,              0.0009208
                     10,                 0.5677,                 1.1598,                0.50008,                 1.0075,                0.85672,                0.73307,                0.82701,                0.67994,                0.86441,                0.73552,                0.82809,                0.64748,                      0,                      0,                    inf,                      0,              0.0009109,              0.0009109,              0.0009109
                     11,                0.57245,                 1.1378,                0.49482,                 1.0038,                0.77471,                0.83025,                0.84307,                0.68301,                0.77239,                0.82821,                 0.8364,                0.64936,                      0,                      0,                    inf,                      0,               0.000901,               0.000901,               0.000901
                     12,                0.57005,                 1.1644,                 0.4878,                 1.0032,                 0.8338,                0.80222,                0.85477,                0.68992,                0.82904,                 0.7983,                0.84946,                0.66464,                      0,                      0,                    inf,                      0,              0.0008911,              0.0008911,              0.0008911
                     13,                0.55839,                 1.1159,                 0.4656,                0.99085,                0.78966,                0.81312,                0.86948,                0.69675,                0.78874,                0.81241,                0.86524,                0.66427,                      0,                      0,                    inf,                      0,              0.0008812,              0.0008812,              0.0008812
                     14,                0.55085,                    1.1,                0.45461,                0.99214,                0.83227,                0.81107,                0.88439,                0.70751,                0.82931,                0.80319,                0.87471,                0.67275,                      0,                      0,                    inf,                      0,              0.0008713,              0.0008713,              0.0008713
                     15,                0.55517,                 1.0955,                0.44824,                0.99223,                0.82072,                0.83345,                0.88296,                0.70976,                0.81609,                0.82897,                0.87285,                0.67595,                      0,                      0,                    inf,                      0,              0.0008614,              0.0008614,              0.0008614
                     16,                0.54926,                 1.0806,                0.43995,                0.98329,                0.85261,                0.80887,                0.87938,                0.71635,                0.85793,                0.81043,                0.88246,                0.68406,                      0,                      0,                    inf,                      0,              0.0008515,              0.0008515,              0.0008515
                     17,                0.53493,                  1.022,                0.41876,                0.97977,                0.85145,                0.82056,                0.88794,                0.72755,                0.84838,                0.81874,                0.88563,                0.68532,                      0,                      0,                    inf,                      0,              0.0008416,              0.0008416,              0.0008416
                     18,                0.53204,                  1.042,                0.41656,                0.98085,                0.83226,                0.78798,                 0.8528,                0.70601,                0.83717,                0.79193,                0.85413,                0.67843,                      0,                      0,                    inf,                      0,              0.0008317,              0.0008317,              0.0008317
                     19,                0.52798,                 1.0369,                0.40884,                0.97262,                0.86042,                0.81698,                0.87711,                0.73192,                0.86578,                0.81998,                0.88144,                0.69525,                      0,                      0,                    inf,                      0,              0.0008218,              0.0008218,              0.0008218
                     20,                0.52777,                 1.0063,                0.40658,                0.97008,                0.79331,                0.85773,                0.88594,                0.70973,                0.79308,                0.85758,                0.88271,                0.67337,                      0,                      0,                    inf,                      0,              0.0008119,              0.0008119,              0.0008119
                     21,                0.51978,                0.99707,                0.39214,                 0.9708,                0.85641,                0.84548,                0.90541,                0.73684,                0.85165,                0.84162,                0.89873,                0.69503,                      0,                      0,                    inf,                      0,               0.000802,               0.000802,               0.000802
