                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2601,                 3.1474,                 2.3491,                 1.5551,                0.12645,                0.20845,                0.12433,                0.09418,                0.12092,                0.20214,                 0.1167,                0.08185,                      0,                      0,                    inf,                      0,               0.067273,             0.00033058,             0.00033058
                      1,                0.91311,                 2.1592,                 1.5047,                 1.2878,                0.55382,                0.34971,                0.37454,                 0.2714,                0.55722,                0.33837,                0.36962,                0.24702,                      0,                      0,                    inf,                      0,               0.034266,             0.00065734,             0.00065734
                      2,                0.79594,                 1.8572,                 1.0832,                 1.1893,                0.64123,                0.44999,                0.49551,                0.36665,                0.64725,                0.44504,                0.48218,                0.34316,                      0,                      0,                    inf,                      0,               0.001253,              0.0009775,              0.0009775
                      3,                0.71973,                 1.6303,                0.85964,                 1.1312,                0.63422,                0.55418,                0.60206,                0.46634,                0.63972,                0.55967,                 0.5932,                0.42734,                      0,                      0,                    inf,                      0,              0.0009703,              0.0009703,              0.0009703
                      4,                0.67371,                 1.5017,                0.73477,                 1.0885,                0.59322,                0.69926,                0.67233,                0.52464,                0.59658,                0.70262,                0.67521,                0.50341,                      0,                      0,                    inf,                      0,              0.0009703,              0.0009703,              0.0009703
                      5,                0.65684,                  1.406,                0.67143,                 1.0675,                0.60663,                0.71186,                0.70042,                0.53597,                0.60295,                0.70792,                0.68739,                 0.5087,                      0,                      0,                    inf,                      0,              0.0009604,              0.0009604,              0.0009604
                      6,                0.63605,                  1.339,                0.61802,                 1.0584,                0.72943,                0.67409,                0.72759,                0.58369,                0.73224,                0.67371,                0.73927,                0.55653,                      0,                      0,                    inf,                      0,              0.0009505,              0.0009505,              0.0009505
                      7,                 0.6316,                  1.319,                0.60474,                 1.0514,                0.72309,                0.73669,                0.75389,                0.60035,                0.72276,                0.73524,                0.75639,                0.56936,                      0,                      0,                    inf,                      0,              0.0009406,              0.0009406,              0.0009406
                      8,                0.61966,                 1.2794,                0.57545,                 1.0355,                0.77206,                0.72475,                0.78733,                0.62498,                0.76642,                 0.7185,                0.78063,                0.59194,                      0,                      0,                    inf,                      0,              0.0009307,              0.0009307,              0.0009307
                      9,                0.59597,                 1.2016,                0.52836,                 1.0214,                0.73449,                0.71758,                0.78847,                0.64398,                0.73563,                0.71646,                0.78527,                0.61554,                      0,                      0,                    inf,                      0,              0.0009208,              0.0009208,              0.0009208
                     10,                0.59185,                 1.1862,                 0.5252,                 1.0163,                0.69268,                0.80238,                  0.815,                0.65772,                0.69105,                0.81929,                0.80898,                0.62177,                      0,                      0,                    inf,                      0,              0.0009109,              0.0009109,              0.0009109
                     11,                0.58141,                 1.1767,                0.50961,                 1.0128,                0.79655,                0.78461,                0.84628,                0.69755,                0.80036,                0.78181,                 0.8412,                0.65593,                      0,                      0,                    inf,                      0,               0.000901,               0.000901,               0.000901
                     12,                0.56586,                 1.1658,                 0.4846,                0.99581,                0.85223,                0.79229,                0.87104,                0.70368,                0.84473,                0.78602,                0.85969,                0.67292,                      0,                      0,                    inf,                      0,              0.0008911,              0.0008911,              0.0008911
                     13,                0.56546,                  1.129,                0.46948,                 1.0018,                0.82202,                0.80917,                0.84434,                0.69336,                0.82126,                0.80922,                0.83963,                0.65043,                      0,                      0,                    inf,                      0,              0.0008812,              0.0008812,              0.0008812
                     14,                0.55635,                 1.1285,                0.46491,                0.98952,                0.80606,                0.76936,                0.84437,                0.68001,                0.80209,                0.76874,                0.83924,                0.64843,                      0,                      0,                    inf,                      0,              0.0008713,              0.0008713,              0.0008713
                     15,                0.55666,                 1.0751,                0.45616,                0.99158,                 0.7913,                0.80357,                0.84107,                0.69262,                0.78918,                0.80584,                0.83964,                0.65744,                      0,                      0,                    inf,                      0,              0.0008614,              0.0008614,              0.0008614
                     16,                0.55294,                 1.0977,                0.44521,                0.98331,                0.85673,                0.83056,                0.89262,                0.72421,                0.84754,                0.82145,                0.87854,                0.69281,                      0,                      0,                    inf,                      0,              0.0008515,              0.0008515,              0.0008515
                     17,                0.54565,                 1.0579,                0.43335,                 0.9849,                0.84147,                 0.8115,                0.86735,                0.71407,                0.84198,                0.81158,                0.86304,                0.68192,                      0,                      0,                    inf,                      0,              0.0008416,              0.0008416,              0.0008416
                     18,                0.54796,                 1.0553,                0.43136,                0.98306,                 0.8321,                 0.8565,                0.89097,                0.72212,                0.82263,                0.84739,                0.87468,                0.69162,                      0,                      0,                    inf,                      0,              0.0008317,              0.0008317,              0.0008317
                     19,                0.53783,                 1.0453,                0.42048,                0.97742,                0.86698,                0.81833,                0.89645,                0.73286,                0.85783,                0.80977,                0.87894,                 0.6995,                      0,                      0,                    inf,                      0,              0.0008218,              0.0008218,              0.0008218
                     20,                0.53627,                 1.0186,                0.40606,                0.97681,                0.83248,                0.83368,                0.89433,                0.73991,                0.82505,                0.82581,                 0.8837,                0.70302,                      0,                      0,                    inf,                      0,              0.0008119,              0.0008119,              0.0008119
                     21,                0.52222,                 1.0196,                0.40876,                0.96677,                0.85301,                0.81871,                0.87837,                 0.7235,                0.84404,                0.81091,                0.86346,                0.68822,                      0,                      0,                    inf,                      0,               0.000802,               0.000802,               0.000802
                     22,                0.52291,                 1.0202,                0.39764,                0.96681,                0.82982,                0.82911,                0.88478,                0.72747,                0.80059,                0.83001,                0.86952,                0.68958,                      0,                      0,                    inf,                      0,              0.0007921,              0.0007921,              0.0007921
                     23,                0.52599,                  1.018,                0.40295,                0.96776,                0.88408,                0.83468,                0.89057,                 0.7377,                0.87261,                0.82711,                0.87507,                0.70005,                      0,                      0,                    inf,                      0,              0.0007822,              0.0007822,              0.0007822
                     24,                0.51624,                0.99171,                 0.3928,                0.96148,                0.81886,                0.84876,                0.88496,                0.72744,                0.80722,                0.84215,                0.87007,                0.68786,                      0,                      0,                    inf,                      0,              0.0007723,              0.0007723,              0.0007723
                     25,                0.51346,                 1.0035,                0.39064,                0.96376,                0.82192,                 0.8506,                0.88189,                0.73379,                0.81457,                0.84553,                0.86842,                0.69596,                      0,                      0,                    inf,                      0,              0.0007624,              0.0007624,              0.0007624
                     26,                0.50664,                 1.0007,                0.37941,                0.96015,                0.88244,                 0.8366,                0.90198,                0.73234,                0.87459,                0.82937,                 0.8838,                0.69688,                      0,                      0,                    inf,                      0,              0.0007525,              0.0007525,              0.0007525
                     27,                  0.511,                0.97127,                0.37015,                0.96364,                0.85264,                0.86782,                0.90695,                0.73376,                  0.843,                 0.8585,                0.89067,                0.69518,                      0,                      0,                    inf,                      0,              0.0007426,              0.0007426,              0.0007426
                     28,                0.50776,                0.95134,                0.37367,                0.96003,                0.90038,                0.83271,                 0.9003,                0.73795,                0.89143,                0.82478,                0.88747,                0.70103,                      0,                      0,                    inf,                      0,              0.0007327,              0.0007327,              0.0007327
                     29,                0.50083,                0.94419,                0.36462,                0.95152,                0.91854,                0.84687,                0.92507,                0.76189,                0.91348,                0.84771,                0.92044,                0.72934,                      0,                      0,                    inf,                      0,              0.0007228,              0.0007228,              0.0007228
                     30,                0.50418,                 0.9829,                0.36682,                0.95636,                0.85144,                0.87863,                0.92135,                0.75414,                0.84615,                0.87328,                0.90873,                0.71523,                      0,                      0,                    inf,                      0,              0.0007129,              0.0007129,              0.0007129
                     31,                0.49294,                0.91345,                0.35823,                0.95429,                0.86035,                0.87038,                0.90222,                0.74356,                0.84957,                0.86243,                0.88748,                0.70946,                      0,                      0,                    inf,                      0,               0.000703,               0.000703,               0.000703
                     32,                0.50347,                0.94589,                0.35858,                0.96031,                0.92206,                0.86001,                0.92131,                0.75533,                0.91292,                0.85146,                0.90428,                 0.7181,                      0,                      0,                    inf,                      0,              0.0006931,              0.0006931,              0.0006931
                     33,                0.50182,                0.95218,                0.36008,                0.95217,                0.85524,                0.83235,                0.88406,                0.72659,                0.84869,                0.82588,                0.87342,                0.69001,                      0,                      0,                    inf,                      0,              0.0006832,              0.0006832,              0.0006832
                     34,                0.49206,                0.95313,                0.35251,                0.94718,                0.87515,                0.85905,                0.90758,                0.76029,                0.87458,                0.85889,                0.90213,                0.71499,                      0,                      0,                    inf,                      0,              0.0006733,              0.0006733,              0.0006733
                     35,                0.49151,                  0.916,                0.34618,                0.94489,                0.92552,                0.84452,                0.91716,                0.76211,                 0.9158,                 0.8354,                0.90356,                0.71945,                      0,                      0,                    inf,                      0,              0.0006634,              0.0006634,              0.0006634
                     36,                 0.4924,                0.93805,                0.34599,                0.95349,                0.93197,                0.83084,                0.91799,                 0.7596,                 0.9208,                0.82015,                0.90015,                0.71707,                      0,                      0,                    inf,                      0,              0.0006535,              0.0006535,              0.0006535
                     37,                0.47975,                0.90264,                0.33566,                0.94806,                0.83384,                 0.8884,                0.92062,                0.75977,                0.82413,                0.87922,                0.90398,                0.71822,                      0,                      0,                    inf,                      0,              0.0006436,              0.0006436,              0.0006436
                     38,                0.48837,                0.89021,                0.33638,                0.94812,                0.91996,                0.86546,                0.91908,                0.76297,                 0.9148,                0.86077,                0.91432,                0.71977,                      0,                      0,                    inf,                      0,              0.0006337,              0.0006337,              0.0006337
                     39,                0.48723,                0.90755,                 0.3332,                0.94554,                 0.9108,                 0.8637,                 0.9194,                0.76829,                0.88462,                 0.8762,                0.91517,                0.73296,                      0,                      0,                    inf,                      0,              0.0006238,              0.0006238,              0.0006238
                     40,                0.48861,                0.90289,                0.33466,                0.94705,                 0.8969,                0.83134,                0.90174,                0.75443,                0.89464,                0.82994,                0.89775,                 0.7211,                      0,                      0,                    inf,                      0,              0.0006139,              0.0006139,              0.0006139
                     41,                0.48921,                0.91852,                0.33533,                0.94499,                0.93831,                0.86709,                0.92821,                0.77756,                0.92727,                0.85817,                0.91806,                0.73705,                      0,                      0,                    inf,                      0,               0.000604,               0.000604,               0.000604
                     42,                0.47914,                0.88926,                0.33215,                0.94177,                 0.9017,                0.86231,                0.91021,                0.76947,                0.89092,                0.85327,                0.89863,                0.72701,                      0,                      0,                    inf,                      0,              0.0005941,              0.0005941,              0.0005941
                     43,                0.47219,                0.88818,                0.32222,                0.94124,                0.88271,                0.87801,                0.91475,                0.77078,                0.88559,                  0.873,                  0.905,                0.72668,                      0,                      0,                    inf,                      0,              0.0005842,              0.0005842,              0.0005842
                     44,                0.47258,                0.88419,                0.32701,                0.94355,                0.91078,                0.85325,                0.90543,                0.76302,                0.90184,                0.84469,                0.89046,                0.72302,                      0,                      0,                    inf,                      0,              0.0005743,              0.0005743,              0.0005743
                     45,                0.47064,                0.88056,                0.31787,                0.94308,                0.95007,                0.81919,                0.90836,                 0.7604,                0.90761,                0.84831,                0.89915,                0.72597,                      0,                      0,                    inf,                      0,              0.0005644,              0.0005644,              0.0005644
                     46,                0.47332,                0.88058,                0.31618,                0.93886,                 0.9043,                0.87615,                0.92536,                0.77556,                0.89538,                0.86436,                 0.9131,                0.74103,                      0,                      0,                    inf,                      0,              0.0005545,              0.0005545,              0.0005545
                     47,                0.46788,                0.85008,                0.31903,                0.93775,                0.89688,                0.90148,                0.92408,                0.77643,                0.88757,                0.88992,                0.91185,                0.73541,                      0,                      0,                    inf,                      0,              0.0005446,              0.0005446,              0.0005446
                     48,                0.46056,                0.87288,                0.30959,                0.93542,                0.89172,                0.87624,                0.92562,                0.78064,                0.88927,                  0.864,                0.91435,                0.74688,                      0,                      0,                    inf,                      0,              0.0005347,              0.0005347,              0.0005347
                     49,                0.46197,                0.84109,                0.30334,                0.93251,                0.91517,                0.85349,                0.92277,                0.77178,                0.90138,                0.84864,                0.91218,                0.73996,                      0,                      0,                    inf,                      0,              0.0005248,              0.0005248,              0.0005248
                     50,                0.47005,                0.87465,                0.31295,                 0.9369,                 0.8795,                0.86647,                 0.9221,                0.77249,                0.86602,                0.86599,                0.91286,                0.74214,                      0,                      0,                    inf,                      0,              0.0005149,              0.0005149,              0.0005149
                     51,                0.46689,                0.88254,                0.30425,                0.93477,                0.88837,                0.88069,                0.92172,                0.77503,                0.87952,                0.87378,                0.90987,                0.74474,                      0,                      0,                    inf,                      0,               0.000505,               0.000505,               0.000505
                     52,                0.45669,                0.87077,                0.30103,                0.93282,                0.86199,                0.89753,                0.92806,                0.78017,                0.85316,                0.88897,                0.91458,                0.73994,                      0,                      0,                    inf,                      0,              0.0004951,              0.0004951,              0.0004951
                     53,                0.45776,                0.84746,                0.30255,                0.93244,                0.92135,                0.85438,                0.91878,                0.77201,                0.90949,                0.84104,                0.90239,                0.73785,                      0,                      0,                    inf,                      0,              0.0004852,              0.0004852,              0.0004852
                     54,                0.45462,                0.86664,                 0.3009,                0.92623,                0.91993,                0.85589,                0.91296,                0.77513,                0.90649,                0.84853,                0.90104,                0.73793,                      0,                      0,                    inf,                      0,              0.0004753,              0.0004753,              0.0004753
                     55,                0.46108,                0.87378,                0.30268,                0.93153,                0.92559,                0.87434,                0.92183,                0.77633,                0.91639,                0.86609,                0.90828,                0.73683,                      0,                      0,                    inf,                      0,              0.0004654,              0.0004654,              0.0004654
                     56,                0.46613,                0.85572,                0.30728,                0.93556,                0.91212,                0.85783,                0.91322,                0.77358,                0.91242,                0.85469,                0.90656,                0.73588,                      0,                      0,                    inf,                      0,              0.0004555,              0.0004555,              0.0004555
                     57,                0.46097,                0.84582,                0.29721,                0.93193,                0.93197,                0.84651,                0.91357,                0.77204,                0.93184,                0.84559,                 0.9074,                 0.7399,                      0,                      0,                    inf,                      0,              0.0004456,              0.0004456,              0.0004456
                     58,                0.44834,                0.85478,                0.29537,                0.92679,                0.91549,                0.85845,                0.91443,                0.77126,                0.90417,                0.84874,                0.90175,                0.73631,                      0,                      0,                    inf,                      0,              0.0004357,              0.0004357,              0.0004357
                     59,                 0.4529,                0.83949,                0.29174,                0.92879,                0.93841,                0.84401,                0.91676,                0.77765,                0.90361,                0.86627,                0.90911,                0.74245,                      0,                      0,                    inf,                      0,              0.0004258,              0.0004258,              0.0004258
                     60,                0.45605,                0.82868,                0.28495,                0.93085,                0.89623,                0.86538,                0.91556,                0.77786,                 0.8968,                0.86446,                0.91093,                0.74715,                      0,                      0,                    inf,                      0,              0.0004159,              0.0004159,              0.0004159
                     61,                0.45046,                0.83109,                0.28652,                0.92783,                0.88749,                0.89276,                 0.9267,                0.78641,                0.88975,                0.89317,                 0.9156,                0.75057,                      0,                      0,                    inf,                      0,               0.000406,               0.000406,               0.000406
                     62,                0.44507,                  0.829,                0.28428,                0.92816,                0.90707,                0.86196,                 0.9098,                0.77113,                 0.9073,                0.85827,                0.90121,                 0.7332,                      0,                      0,                    inf,                      0,              0.0003961,              0.0003961,              0.0003961
                     63,                0.45128,                0.83444,                0.28767,                0.92269,                0.92516,                 0.8501,                0.91689,                0.78185,                0.92637,                0.84967,                0.90789,                0.74084,                      0,                      0,                    inf,                      0,              0.0003862,              0.0003862,              0.0003862
                     64,                0.45598,                0.84355,                0.28696,                0.92803,                0.91948,                0.85705,                 0.9132,                0.77727,                0.91194,                0.84556,                0.90041,                0.74015,                      0,                      0,                    inf,                      0,              0.0003763,              0.0003763,              0.0003763
                     65,                0.44699,                0.80647,                0.28838,                0.92991,                0.92045,                0.85014,                0.91742,                0.77781,                0.90867,                0.84073,                0.90184,                0.74198,                      0,                      0,                    inf,                      0,              0.0003664,              0.0003664,              0.0003664
                     66,                0.44163,                0.82041,                0.28252,                0.92254,                0.90376,                0.87409,                0.92713,                 0.7879,                0.89383,                 0.8651,                0.91467,                0.75141,                      0,                      0,                    inf,                      0,              0.0003565,              0.0003565,              0.0003565
                     67,                0.45185,                 0.8461,                0.28718,                0.93106,                 0.9148,                0.85057,                0.91691,                0.78216,                0.91822,                0.84924,                0.91143,                 0.7423,                      0,                      0,                    inf,                      0,              0.0003466,              0.0003466,              0.0003466
                     68,                0.44273,                0.81841,                0.27956,                0.92534,                0.93773,                0.84384,                0.92652,                0.78273,                0.92866,                0.83528,                0.91282,                0.73999,                      0,                      0,                    inf,                      0,              0.0003367,              0.0003367,              0.0003367
                     69,                0.43712,                0.80964,                0.27644,                0.91838,                 0.9297,                0.84726,                0.92494,                0.78666,                0.92026,                 0.8387,                 0.9178,                0.75137,                      0,                      0,                    inf,                      0,              0.0003268,              0.0003268,              0.0003268
                     70,                0.43184,                0.80133,                0.27675,                0.91492,                0.91574,                0.86838,                0.92551,                0.78832,                0.90628,                0.86135,                0.91345,                0.74765,                      0,                      0,                    inf,                      0,              0.0003169,              0.0003169,              0.0003169
                     71,                 0.4471,                0.81145,                0.28085,                0.92613,                0.92277,                0.85023,                0.91913,                0.77748,                0.91457,                0.84222,                0.90491,                0.74363,                      0,                      0,                    inf,                      0,               0.000307,               0.000307,               0.000307
                     72,                0.44644,                0.80621,                0.28236,                0.93159,                0.92879,                0.86985,                0.93026,                0.79507,                0.92183,                0.86318,                0.91574,                0.75306,                      0,                      0,                    inf,                      0,              0.0002971,              0.0002971,              0.0002971
                     73,                0.43774,                0.80825,                0.27397,                0.92091,                0.87627,                0.89223,                0.92923,                0.78726,                0.86617,                0.88235,                 0.9123,                0.74637,                      0,                      0,                    inf,                      0,              0.0002872,              0.0002872,              0.0002872
                     74,                0.43804,                0.82633,                0.27919,                0.91663,                0.92138,                0.87223,                0.92625,                0.79236,                 0.9214,                0.87131,                0.91529,                0.75772,                      0,                      0,                    inf,                      0,              0.0002773,              0.0002773,              0.0002773
                     75,                0.44461,                0.80412,                0.27504,                0.92664,                0.90831,                0.86186,                0.92137,                 0.7861,                0.91846,                0.85197,                0.91287,                0.74254,                      0,                      0,                    inf,                      0,              0.0002674,              0.0002674,              0.0002674
                     76,                0.43931,                0.79792,                0.27999,                0.92507,                0.88765,                0.88465,                0.92102,                 0.7898,                0.88738,                 0.8821,                0.91511,                0.74916,                      0,                      0,                    inf,                      0,              0.0002575,              0.0002575,              0.0002575
                     77,                0.43077,                0.77645,                0.26637,                0.91653,                0.89548,                0.89117,                0.93052,                0.79429,                0.88552,                0.88184,                0.91935,                0.74862,                      0,                      0,                    inf,                      0,              0.0002476,              0.0002476,              0.0002476
                     78,                0.43323,                0.77863,                0.26607,                0.91943,                0.92645,                0.87246,                0.92323,                0.78977,                0.92689,                0.87289,                0.92038,                0.74637,                      0,                      0,                    inf,                      0,              0.0002377,              0.0002377,              0.0002377
