                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3193,                 3.4696,                  2.446,                 1.5921,                0.12018,                0.16025,                0.10178,                0.07477,                0.12407,                0.14518,                 0.0937,                0.06428,                      0,                      0,                    inf,                      0,              0.0070248,             0.00033058,             0.00033058
                      1,                0.92586,                 2.2166,                 1.5665,                 1.3071,                0.54789,                0.33942,                0.36657,                0.27024,                0.56319,                0.34467,                0.37187,                0.24512,                      0,                      0,                    inf,                      0,              0.0040182,             0.00065728,             0.00065728
                      2,                0.78819,                  1.869,                 1.0908,                 1.1934,                0.45607,                0.48432,                0.50994,                0.38583,                0.47449,                 0.4828,                0.50742,                0.35084,                      0,                      0,                    inf,                      0,              0.0010049,             0.00097732,             0.00097732
                      3,                0.72723,                 1.6251,                0.87262,                   1.13,                0.65812,                0.53766,                0.57512,                0.44429,                 0.6747,                0.54147,                0.57762,                0.41566,                      0,                      0,                    inf,                      0,             0.00097003,             0.00097003,             0.00097003
                      4,                 0.6715,                 1.4553,                0.74368,                 1.0906,                0.66194,                0.60058,                0.66261,                0.50374,                0.64977,                0.58681,                0.64393,                0.47071,                      0,                      0,                    inf,                      0,             0.00097003,             0.00097003,             0.00097003
                      5,                0.66101,                 1.4382,                0.67774,                 1.0754,                0.73129,                0.64432,                0.70591,                0.55643,                0.72834,                0.63727,                0.69388,                0.51916,                      0,                      0,                    inf,                      0,             0.00096004,             0.00096004,             0.00096004
                      6,                0.62529,                 1.3194,                0.60618,                 1.0438,                0.71557,                 0.6857,                0.73662,                0.59389,                0.75141,                0.67237,                0.72986,                0.56258,                      0,                      0,                    inf,                      0,             0.00095005,             0.00095005,             0.00095005
                      7,                0.61915,                 1.2849,                0.57909,                  1.038,                0.64975,                0.73222,                0.74654,                0.60296,                0.65901,                0.73147,                0.74985,                0.57114,                      0,                      0,                    inf,                      0,             0.00094006,             0.00094006,             0.00094006
                      8,                0.60208,                 1.2254,                0.54993,                 1.0271,                0.77515,                0.74632,                0.80659,                0.65388,                0.77073,                0.74226,                0.79685,                0.61139,                      0,                      0,                    inf,                      0,             0.00093007,             0.00093007,             0.00093007
                      9,                0.59471,                 1.2091,                0.52554,                 1.0182,                0.80563,                0.77394,                0.83227,                0.66184,                0.80231,                0.77134,                0.82624,                0.63251,                      0,                      0,                    inf,                      0,             0.00092008,             0.00092008,             0.00092008
                     10,                0.57055,                 1.1734,                 0.5012,                 1.0076,                0.78136,                0.78907,                0.83726,                0.68457,                0.78898,                0.79359,                0.84206,                0.66146,                      0,                      0,                    inf,                      0,             0.00091009,             0.00091009,             0.00091009
                     11,                0.57619,                 1.1374,                0.49526,                 1.0052,                0.80867,                0.79364,                0.84084,                0.68187,                0.80612,                0.78834,                 0.8338,                0.65522,                      0,                      0,                    inf,                      0,              0.0009001,              0.0009001,              0.0009001
                     12,                0.57037,                 1.1669,                0.48816,                 1.0012,                0.81136,                0.77365,                0.83846,                0.68353,                0.84202,                0.76024,                0.84196,                 0.6573,                      0,                      0,                    inf,                      0,             0.00089011,             0.00089011,             0.00089011
                     13,                 0.5583,                 1.1174,                0.46688,                 0.9902,                0.80169,                0.81113,                0.86968,                0.70344,                0.79735,                0.81084,                 0.8619,                0.66922,                      0,                      0,                    inf,                      0,             0.00088012,             0.00088012,             0.00088012
                     14,                0.55095,                 1.0946,                0.45245,                0.99139,                 0.8097,                0.79195,                0.85426,                0.70044,                0.81646,                0.79814,                0.86214,                0.68195,                      0,                      0,                    inf,                      0,             0.00087013,             0.00087013,             0.00087013
                     15,                0.55662,                 1.0952,                0.44654,                 0.9899,                0.84481,                0.81184,                0.88157,                0.72005,                0.84192,                0.80969,                0.87332,                0.68405,                      0,                      0,                    inf,                      0,             0.00086014,             0.00086014,             0.00086014
                     16,                0.54571,                 1.0808,                0.43763,                0.97793,                 0.8346,                0.82495,                0.86908,                0.70883,                0.84515,                0.83252,                0.87515,                0.67615,                      0,                      0,                    inf,                      0,             0.00085015,             0.00085015,             0.00085015
                     17,                0.54006,                 1.0297,                0.41982,                0.98016,                0.90909,                0.79038,                 0.8892,                0.72737,                0.90386,                0.78494,                0.88012,                0.68904,                      0,                      0,                    inf,                      0,             0.00084016,             0.00084016,             0.00084016
                     18,                0.53305,                 1.0346,                0.41751,                0.97843,                0.86235,                0.78783,                0.87632,                0.72084,                 0.8675,                0.79266,                0.88013,                0.68772,                      0,                      0,                    inf,                      0,             0.00083017,             0.00083017,             0.00083017
                     19,                0.53266,                 1.0366,                0.41155,                0.97508,                0.88251,                0.80144,                0.88933,                 0.7358,                0.87744,                0.79752,                0.88281,                0.70474,                      0,                      0,                    inf,                      0,             0.00082018,             0.00082018,             0.00082018
                     20,                0.52684,                 1.0047,                 0.4069,                0.96682,                0.81486,                0.83825,                 0.8796,                0.70364,                0.81737,                0.83365,                0.87238,                0.67468,                      0,                      0,                    inf,                      0,             0.00081019,             0.00081019,             0.00081019
                     21,                0.52059,                 1.0034,                0.39446,                0.96982,                0.86974,                0.83166,                0.88486,                0.72284,                0.86563,                0.82864,                0.87662,                0.68937,                      0,                      0,                    inf,                      0,              0.0008002,              0.0008002,              0.0008002
                     22,                0.52621,                   1.02,                 0.3939,                0.97006,                0.88379,                 0.8255,                 0.8891,                0.72908,                0.87227,                0.81719,                0.87991,                0.69514,                      0,                      0,                    inf,                      0,             0.00079021,             0.00079021,             0.00079021
                     23,                0.51408,                0.98939,                0.38277,                0.96781,                0.86765,                 0.8243,                0.88585,                0.72489,                0.86237,                0.82125,                0.87383,                0.68621,                      0,                      0,                    inf,                      0,             0.00078022,             0.00078022,             0.00078022
                     24,                0.51228,                0.98652,                0.37975,                0.96218,                0.85788,                0.82322,                0.89606,                0.73475,                0.84846,                0.81372,                0.88443,                0.69515,                      0,                      0,                    inf,                      0,             0.00077023,             0.00077023,             0.00077023
                     25,                0.51017,                 0.9727,                0.37695,                0.95986,                0.83905,                0.86818,                0.90578,                0.74377,                0.83106,                0.86005,                0.89162,                0.71284,                      0,                      0,                    inf,                      0,             0.00076024,             0.00076024,             0.00076024
                     26,                0.50308,                0.94044,                0.37216,                0.96198,                 0.8978,                0.84485,                0.90168,                0.74896,                 0.8853,                0.83413,                0.88401,                0.70535,                      0,                      0,                    inf,                      0,             0.00075025,             0.00075025,             0.00075025
                     27,                0.50525,                0.96324,                0.36816,                0.95371,                0.85254,                0.80505,                0.89738,                0.74075,                 0.8405,                 0.8046,                0.88739,                0.69846,                      0,                      0,                    inf,                      0,             0.00074026,             0.00074026,             0.00074026
                     28,                0.50734,                 0.9594,                0.36899,                0.95856,                0.89491,                 0.8345,                0.90839,                 0.7538,                0.88875,                0.82874,                0.90011,                0.72046,                      0,                      0,                    inf,                      0,             0.00073027,             0.00073027,             0.00073027
                     29,                0.49127,                0.92917,                0.35625,                0.94892,                0.84461,                0.86286,                0.89927,                0.75654,                0.83737,                0.85583,                0.88614,                0.71916,                      0,                      0,                    inf,                      0,             0.00072028,             0.00072028,             0.00072028
