                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3151,                   3.48,                 2.4504,                 1.5962,                0.11169,                0.18095,                0.10145,                0.07465,                0.10195,                0.17589,                0.09424,                0.06122,                      0,                      0,                    inf,                      0,              0.0070248,             0.00033058,             0.00033058
                      1,                0.94474,                   2.24,                 1.5898,                 1.3148,                0.53177,                0.32384,                0.35127,                0.25853,                0.69245,                0.31068,                0.35381,                 0.2323,                      0,                      0,                    inf,                      0,              0.0040182,             0.00065728,             0.00065728
                      2,                0.80838,                 1.8887,                 1.1217,                 1.1981,                0.63283,                0.48744,                0.51301,                0.38214,                0.62487,                0.49559,                 0.4967,                0.34898,                      0,                      0,                    inf,                      0,              0.0010049,             0.00097732,             0.00097732
                      3,                0.72829,                 1.6454,                0.87028,                 1.1327,                0.58864,                0.56441,                0.59332,                0.47149,                0.58187,                0.55379,                0.58547,                0.43192,                      0,                      0,                    inf,                      0,             0.00097003,             0.00097003,             0.00097003
                      4,                0.67452,                 1.4997,                0.74498,                 1.0855,                0.59351,                0.68671,                 0.6631,                0.52147,                0.61246,                0.67981,                0.66129,                0.49165,                      0,                      0,                    inf,                      0,             0.00097003,             0.00097003,             0.00097003
                      5,                 0.6569,                 1.4152,                 0.6744,                 1.0658,                0.63281,                0.72381,                0.70605,                0.54796,                0.64591,                0.73495,                0.71519,                0.52071,                      0,                      0,                    inf,                      0,             0.00096004,             0.00096004,             0.00096004
                      6,                0.63761,                 1.3399,                0.62031,                 1.0587,                0.68243,                  0.712,                0.75164,                0.60806,                0.71238,                0.72686,                0.77671,                0.57653,                      0,                      0,                    inf,                      0,             0.00095005,             0.00095005,             0.00095005
                      7,                0.62903,                 1.3214,                0.60703,                  1.046,                0.66519,                0.77734,                0.74447,                0.59842,                0.66453,                0.78135,                0.74484,                0.56195,                      0,                      0,                    inf,                      0,             0.00094006,             0.00094006,             0.00094006
                      8,                0.62366,                 1.2819,                0.57479,                 1.0366,                0.69999,                0.76293,                0.78841,                0.63657,                0.70526,                0.77054,                0.78976,                0.60942,                      0,                      0,                    inf,                      0,             0.00093007,             0.00093007,             0.00093007
                      9,                0.60043,                 1.1959,                0.53249,                  1.023,                0.77279,                0.72081,                0.80843,                0.66177,                0.78456,                0.72902,                0.80853,                0.62814,                      0,                      0,                    inf,                      0,             0.00092008,             0.00092008,             0.00092008
                     10,                0.59374,                 1.1798,                0.52256,                 1.0169,                0.77715,                0.79435,                0.82633,                0.67601,                0.77672,                0.79709,                 0.8255,                0.63225,                      0,                      0,                    inf,                      0,             0.00091009,             0.00091009,             0.00091009
