                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0301,                  2.564,                 1.6747,                 1.3658,                0.45003,                0.52581,                0.49958,                0.37025,                0.46555,                0.53766,                0.50314,                0.32213,                      0,                      0,                    inf,                      0,               0.070248,              0.0033058,              0.0033058
                      1,                0.75957,                 1.6958,                0.86384,                 1.1398,                0.63765,                0.59511,                0.60446,                0.44445,                0.63414,                0.60333,                0.59093,                0.39498,                      0,                      0,                    inf,                      0,               0.040182,              0.0065734,              0.0065734
                      2,                 0.7985,                 1.7057,                0.75768,                 1.1358,                0.53427,                0.57742,                0.58969,                0.41746,                0.62255,                0.49565,                0.57715,                0.38112,                      0,                      0,                    inf,                      0,                0.01005,               0.009775,               0.009775
                      3,                0.84647,                 1.7645,                0.77217,                 1.1479,                  0.537,                0.61022,                0.56386,                0.36925,                 0.5704,                0.56641,                0.54872,                0.31084,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                0.85326,                 1.7143,                0.73598,                 1.1574,                0.69519,                0.57286,                0.63761,                0.46422,                0.71383,                0.58802,                0.64471,                0.42992,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                0.84609,                 1.7187,                0.70585,                 1.1516,                0.62767,                 0.5986,                0.65153,                0.44664,                0.65633,                 0.5827,                0.65824,                0.42702,                      0,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                0.81048,                 1.5994,                0.65788,                 1.1252,                0.64008,                0.69075,                0.69218,                0.52555,                0.64851,                0.70479,                0.70838,                0.50419,                      0,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                0.80346,                 1.5644,                0.64067,                 1.1257,                0.64545,                 0.7485,                0.74773,                0.56274,                0.73396,                0.68024,                0.74473,                0.52898,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                0.78782,                 1.4933,                0.62318,                 1.1174,                0.73721,                0.68667,                0.73374,                0.55172,                0.75718,                0.67624,                0.74416,                0.52999,                      0,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                0.77023,                 1.5073,                0.60948,                 1.1004,                 0.7173,                0.64094,                0.67677,                0.49308,                0.73353,                0.64761,                  0.681,                0.46413,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                0.74743,                  1.438,                0.58395,                 1.0918,                0.64429,                0.73837,                0.71738,                 0.5495,                0.64892,                 0.7407,                0.72057,                0.51988,                      0,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                0.76058,                 1.4273,                0.58167,                 1.0898,                0.79318,                 0.6848,                0.78081,                0.58934,                0.82099,                0.69305,                0.78515,                 0.5614,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.75615,                 1.4405,                0.57494,                 1.0935,                0.66983,                0.72759,                0.74693,                0.56936,                0.67753,                0.74067,                0.76613,                0.54117,                      0,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.73513,                 1.4288,                0.56512,                 1.0775,                 0.7473,                0.72095,                0.76795,                0.60171,                0.75834,                0.72496,                0.78231,                0.57608,                      0,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.72596,                 1.3658,                 0.5468,                 1.0749,                0.73904,                0.74789,                0.79748,                0.60411,                0.83952,                0.69207,                0.80682,                0.58595,                      0,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.72273,                 1.3708,                0.53662,                  1.071,                0.63972,                0.73529,                0.73584,                0.54955,                0.81386,                0.64488,                0.74264,                0.51797,                      0,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.72798,                 1.3538,                0.53426,                 1.0697,                0.78765,                0.73907,                 0.8034,                 0.6238,                 0.7888,                0.73599,                0.79531,                0.59102,                      0,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                0.69263,                 1.2512,                 0.5049,                 1.0509,                0.75342,                0.68371,                0.75745,                0.58276,                0.74664,                0.69666,                0.76139,                0.56526,                      0,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 0.6854,                 1.2707,                0.49615,                 1.0503,                0.74852,                0.73762,                0.78791,                0.61917,                0.75306,                0.74069,                 0.7914,                0.58695,                      0,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                0.68664,                 1.2534,                0.49295,                 1.0431,                0.77862,                0.75613,                0.80699,                0.63851,                0.78095,                0.76253,                0.81809,                0.60772,                      0,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                0.68102,                 1.2446,                0.49431,                 1.0401,                0.81972,                0.72875,                 0.8143,                0.64215,                 0.8334,                0.73823,                0.82373,                0.62248,                      0,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                0.66448,                 1.2096,                0.46371,                 1.0393,                0.84758,                 0.7381,                0.82038,                0.64236,                0.83908,                0.73117,                0.81706,                0.61434,                      0,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                0.67077,                  1.243,                0.47016,                 1.0447,                0.71702,                0.76183,                0.78617,                0.60525,                0.79354,                0.71836,                0.79923,                0.58872,                      0,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                0.65514,                 1.1959,                0.46561,                 1.0353,                0.80508,                0.76111,                0.81263,                0.64635,                0.80415,                0.75861,                 0.8155,                0.62757,                      0,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                0.64832,                 1.1979,                0.45872,                 1.0254,                0.77199,                 0.8323,                0.85639,                0.67375,                0.76819,                0.83035,                0.85214,                0.64973,                      0,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                0.64635,                 1.1869,                0.45957,                 1.0242,                0.80704,                0.80058,                0.85352,                0.66974,                0.78827,                0.79063,                0.83529,                0.63489,                      0,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                0.63398,                 1.1427,                0.43968,                 1.0236,                0.77243,                0.79763,                0.82313,                0.62941,                0.77746,                0.80043,                0.82823,                0.60584,                      0,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                0.63362,                 1.1525,                0.44306,                 1.0136,                0.82691,                0.81687,                0.85636,                0.68604,                0.82731,                0.81757,                0.84722,                0.64948,                      0,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
