                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0392,                 2.5605,                  1.703,                 1.3848,                0.55817,                0.44609,                0.43286,                0.31461,                0.57407,                0.46203,                0.42395,                 0.2768,                      0,                      0,                    inf,                      0,               0.070248,              0.0033058,              0.0033058
                      1,                0.77956,                 1.7329,                0.89365,                 1.1465,                0.50843,                0.60276,                0.46747,                0.31967,                0.51334,                0.58835,                0.45775,                0.28311,                      0,                      0,                    inf,                      0,               0.040182,              0.0065734,              0.0065734
                      2,                0.80637,                 1.7217,                0.78306,                 1.1263,                0.62916,                0.61045,                0.57679,                0.40059,                 0.6341,                0.61971,                 0.5881,                0.35798,                      0,                      0,                    inf,                      0,                0.01005,               0.009775,               0.009775
                      3,                 0.8479,                 1.7987,                0.76541,                 1.1617,                0.46129,                0.43909,                0.45719,                0.29182,                0.45578,                0.43201,                0.44181,                0.25756,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                0.87274,                 1.7954,                0.75735,                 1.1642,                0.55897,                0.63615,                0.60418,                0.43154,                0.55636,                0.63074,                0.60356,                0.38445,                      0,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                0.85015,                 1.7037,                0.71123,                 1.1538,                0.68808,                0.55115,                0.61878,                0.44704,                0.68851,                0.54628,                0.61472,                0.40697,                      0,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                0.82864,                 1.6279,                0.68322,                 1.1472,                 0.5965,                0.58262,                0.61191,                0.46306,                  0.601,                0.58735,                 0.6044,                0.42365,                      0,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                0.82635,                 1.6514,                0.68189,                  1.146,                0.61968,                0.59384,                0.61391,                0.44806,                0.61878,                0.58454,                0.61204,                 0.4063,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                0.82375,                 1.6018,                0.67362,                 1.1377,                0.75279,                0.66266,                0.74084,                0.55257,                0.75893,                0.66557,                0.74489,                0.51889,                      0,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                0.79321,                 1.4844,                0.61719,                 1.1106,                0.75082,                0.68895,                0.74953,                0.56398,                0.77717,                0.69185,                 0.7497,                0.52093,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
