                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0509,                 2.5825,                 1.7928,                 1.4094,                0.57442,                0.45688,                0.46488,                0.34302,                0.56471,                0.45761,                0.45433,                0.29917,                      0,                      0,                    inf,                      0,               0.070248,              0.0033058,              0.0033058
                      1,                 0.7504,                 1.6572,                0.85616,                 1.1466,                  0.583,                0.50668,                0.51425,                0.37139,                0.55113,                0.48925,                 0.4808,                0.31727,                      0,                      0,                    inf,                      0,               0.040116,              0.0065077,              0.0065077
                      2,                0.77811,                 1.6726,                0.74174,                 1.1337,                0.55667,                0.60078,                0.57418,                0.39998,                 0.5807,                0.57449,                0.56975,                0.37959,                      0,                      0,                    inf,                      0,               0.009853,              0.0095775,              0.0095775
                      3,                0.82182,                 1.6588,                0.74658,                 1.1494,                0.74796,                0.63126,                0.64142,                0.47583,                0.74729,                0.62043,                0.62215,                0.39836,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      4,                0.82418,                 1.6153,                0.71401,                 1.1535,                0.62546,                0.68594,                0.68252,                0.49618,                0.63338,                 0.6809,                0.67947,                0.46827,                      0,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      5,                0.82092,                 1.6139,                0.69208,                 1.1459,                 0.6189,                  0.658,                0.66082,                0.49257,                0.62835,                0.66526,                0.67015,                0.45496,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      6,                0.78225,                 1.5124,                0.64336,                 1.1203,                0.76493,                0.64991,                0.72867,                 0.5323,                0.77262,                0.64096,                0.73865,                0.51699,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      7,                0.76952,                 1.4862,                0.61793,                 1.1094,                0.67555,                0.65925,                0.68509,                0.50792,                0.67236,                 0.6577,                0.67459,                0.47225,                      0,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                0.75023,                 1.4384,                0.60132,                 1.1007,                 0.6607,                0.69051,                0.71678,                0.52937,                0.66184,                0.69042,                0.72202,                0.48539,                      0,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                0.74075,                 1.4018,                0.58199,                 1.0909,                0.74907,                0.66575,                0.73751,                0.53874,                0.74777,                0.66518,                 0.7345,                0.51624,                      0,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                0.70758,                 1.3366,                0.55507,                 1.0819,                0.73644,                0.72518,                0.78678,                 0.5896,                0.73087,                0.71976,                0.77498,                0.57286,                      0,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     11,                0.71011,                 1.2955,                  0.548,                 1.0735,                 0.7664,                0.71977,                0.78614,                0.61727,                0.77569,                0.72811,                0.78834,                 0.5971,                      0,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     12,                0.70381,                 1.3323,                0.54011,                 1.0727,                0.74525,                0.75549,                0.78962,                0.61196,                0.75086,                0.75823,                0.79898,                0.58452,                      0,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     13,                0.68943,                 1.2966,                0.52222,                 1.0597,                0.73312,                0.76313,                0.79258,                0.60874,                0.76732,                0.73428,                0.80136,                0.58274,                      0,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     14,                0.67204,                 1.2606,                0.50122,                 1.0556,                0.72217,                0.75637,                0.78695,                0.62022,                0.71573,                0.75737,                0.79272,                0.59297,                      0,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     15,                0.66856,                 1.2474,                 0.4959,                  1.052,                0.76978,                0.74605,                0.79249,                0.60044,                0.75489,                0.75057,                0.78022,                0.56868,                      0,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     16,                 0.6649,                  1.244,                0.49394,                 1.0472,                  0.845,                0.72635,                0.82671,                0.62835,                0.85147,                0.73083,                0.83814,                0.60743,                      0,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     17,                0.63992,                 1.1555,                0.46312,                 1.0378,                0.75109,                0.77361,                0.80162,                0.63766,                0.75669,                0.77915,                 0.8141,                0.61219,                      0,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     18,                 0.6345,                 1.1538,                0.45982,                 1.0308,                0.80125,                0.78973,                0.84203,                0.67475,                0.81005,                0.79277,                0.84793,                0.64382,                      0,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     19,                0.62111,                 1.1523,                0.44758,                 1.0245,                0.75445,                0.75923,                0.80611,                0.65343,                0.76125,                0.76403,                0.81766,                0.63725,                      0,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     20,                0.61711,                 1.1298,                0.44794,                 1.0244,                0.80553,                0.81515,                0.85563,                0.67696,                0.80717,                 0.8223,                0.85448,                0.65795,                      0,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     21,                0.60298,                 1.1151,                0.43161,                 1.0193,                0.83718,                0.81928,                0.87601,                0.68807,                 0.8326,                0.81551,                0.86303,                0.67119,                      0,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     22,                0.60564,                 1.0897,                0.42458,                 1.0149,                0.84648,                0.76664,                0.85717,                0.68541,                0.86558,                0.77245,                0.86607,                0.66315,                      0,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     23,                0.59514,                 1.0756,                0.41487,                 1.0108,                0.84715,                0.76471,                0.85959,                0.68008,                0.84958,                0.77396,                0.87225,                0.67248,                      0,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     24,                 0.5881,                 1.0942,                0.40998,                 1.0089,                 0.8006,                0.80218,                0.86612,                0.69816,                0.79369,                0.79596,                0.85958,                0.67439,                      0,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     25,                0.58289,                 1.0752,                 0.4053,                 1.0031,                0.81862,                0.79915,                0.85645,                0.69202,                0.80933,                0.79082,                0.84286,                0.66137,                      0,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     26,                0.56491,                 1.0301,                0.38956,                 0.9986,                0.84936,                0.77747,                0.87423,                0.70213,                0.84724,                0.77502,                0.86147,                0.65394,                      0,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     27,                 0.5572,                  1.022,                0.38212,                0.99006,                 0.7667,                0.76712,                0.82039,                0.66225,                0.75999,                0.76063,                0.80661,                0.62262,                      0,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
